gid,x,y,z
10,7984.9897468,4141.3037118,9588.3017588
16,7962.3198248,4211.8627938,9515.6611338
33,7650.9897468,2242.5998548,8636.3515628
51,7993.5297858,3292.6909188,9524.7216808
89,7633.4897468,2067.3898938,8499.3310558
100,8015.7397468,4385.1938488,9647.9316418
104,8074.1796888,3951.7807628,9718.8417978
105,7987.3100598,2990.2368168,9371.0312508
116,7829.5200208,2208.5397958,8815.3017588
123,7245.9667978,1625.0498058,7512.7211918
128,7646.1499028,2109.2797858,8472.7714848
131,6619.7749028,1995.1499028,6503.8842778
135,7623.5400398,2061.3798838,8539.4316418
137,7988.7797858,3781.3242198,9579.4609388
176,7970.9096688,4377.7089848,9551.9208988
191,7558.7700208,1969.4298108,8380.6611338
193,7913.0498058,4008.4299328,9484.2714848
202,7097.2158208,1624.4898688,7206.6215828
222,8017.7797858,4700.7089848,9671.9511728
238,8116.4199228,3914.4455578,9691.4814458
242,7845.4599618,2346.9699718,8884.1015628
245,8070.9599618,4060.5739758,9644.8515628
249,8052.1098638,3859.7050788,9619.3212898
250,7970.0898448,4342.9960948,9575.3515628
276,7904.2197278,4231.3789068,9351.7011728
285,8162.5498058,3871.4023448,9774.2812508
297,8001.1699228,3886.4704598,9590.4208988
298,7681.7900398,2138.3598638,8624.6015628
302,7658.5297858,2215.6599128,8577.2812508
307,7892.7299808,4477.2216808,9368.0410168
308,8015.5200208,3790.1879888,9577.5810558
342,7589.2797858,1946.1098638,8358.3808598
348,7959.0898448,4162.7558598,9550.7011728
354,7949.3500988,3106.5107428,9400.8212898
365,8027.1396488,4333.7446298,9651.0117198
377,6816.2578128,1743.9298108,6711.7094738
390,8035.7299808,2999.6857918,9414.5917978
439,6960.6499028,1638.3898938,7111.9414068
449,6613.1948248,2043.0598148,6373.6674808
453,8021.3798838,4416.4140628,9686.9716808
458,7029.5859388,1610.2498788,7178.6113288
474,7959.3100598,3212.3789068,9353.1416028
480,7905.8598638,2525.6298838,9015.6513678
495,7792.2197278,2410.5698248,8914.4511728
517,6902.1069348,1682.3798838,6807.8452158
544,7084.1928718,1614.7598888,7266.7714848
583,7694.1997078,2015.6298838,8486.7314458
600,7925.9199228,4061.0439458,9504.1816418
601,7997.9799808,3795.8405768,9533.9716808
631,7928.5498058,4019.2319348,9544.1015628
