gid,x,y,z
4,8230.1699228,2692.0698248,9283.8515628
12,8714.4394538,2487.5898448,9124.7216808
43,8244.9394538,2662.7199718,9210.5517588
56,8129.1098638,2599.8098148,9241.1611338
67,8114.8701178,2491.5397958,9148.6015628
71,8624.3701178,2563.1899418,9262.3710948
161,8396.6103528,2570.1699228,9240.7412118
172,8364.3994148,2530.5998548,9208.4111338
217,8220.9296888,2512.8398448,9208.9111338
236,8167.5200208,2700.6599128,9300.2812508
239,8319.5302738,2539.0097668,9238.4814458
303,8281.7099618,2550.4399418,9151.2714848
310,8302.5195318,2594.4099128,9258.7812508
319,8714.5996098,2473.9199228,9182.4814458
361,8222.4296888,2690.5898448,9276.7011728
396,8433.6201178,2451.4997568,9097.8808598
423,8132.4897468,2628.9299328,9185.1015628
434,8715.4794928,2519.6499028,9231.9316418
490,8409.9697278,2571.1098638,9243.9316418
491,8155.1396488,2530.0197758,9125.0712898
587,8427.7900398,2552.0998548,9188.1416028
610,8160.5297858,2651.2199718,9217.9716808
644,8962.1298838,2602.9797368,9030.5009778
656,8769.8095708,2523.0998548,9142.8710948
661,8432.9501958,2462.3598638,9104.6210948
672,8444.9101568,2486.1799328,9205.8613288
688,8137.3896488,2692.4099128,9226.9511728
697,8389.4394538,2620.5097668,9271.6708988
706,8111.9897468,2614.1799328,9170.4716808
735,8148.2797858,2532.0698248,9135.2812508
736,8180.0600598,2590.0698248,9168.7412118
738,8329.7099618,2546.4299328,9225.1611338
740,8366.5996098,2542.7697758,9225.0410168
751,8503.0400398,2667.2998058,9203.6708988
779,8729.7597668,2450.7497568,9152.6113288
784,8205.9902348,2517.8098148,9129.9814458
791,8196.6396488,2611.0598148,9241.7812508
794,8432.8095708,2598.4699718,9262.7314458
804,8916.2900398,2611.9099128,9046.0009778
817,8126.3300788,2613.9797368,9211.2812508
822,8715.2001958,2399.8198248,9040.2812508
840,8285.2197278,2564.9897468,9257.8212898
848,8389.4296888,2477.3098148,9193.5917978
863,8828.1494148,2559.4599618,9086.2314458
878,8192.2998058,2651.1298838,9235.1308598
879,8810.9902348,2599.5698248,9121.3808598
892,8278.6601568,2636.5397958,9306.5517588
919,8487.1894538,2469.1999518,9160.2412118
946,8832.8701178,2467.5097668,8904.7314458
955,8171.6098638,2622.0097668,9213.6015628
975,8219.7197278,2504.4699718,9195.1816418
976,8713.1601568,2476.8498548,9212.7812508
979,8680.6396488,2465.8598638,9090.5517588
981,8855.1396488,2455.0998548,9184.3808598
1016,8196.7197278,2705.0498058,9261.3916028
1062,8153.4897468,2623.9797368,9250.3310558
1161,8396.1894538,2479.4797368,9210.3808598
1164,8506.3398448,2587.8098148,9318.7314458
1171,8241.5400398,2640.4199228,9244.8212898
1188,8574.0595708,2510.0798348,9173.4912118
1257,8152.2900398,2629.0898448,9203.6308598
1279,8281.9794928,2511.9099128,9186.5117198
1319,8479.3994148,2665.9797368,9256.9814458
1323,8644.9394538,2571.1899418,9144.5214848
1343,8218.2294928,2698.5498058,9297.0117198
1355,8365.2998058,2695.6999518,9281.7109388
1356,8546.5996098,2608.3698738,9276.6113288
1391,8193.8798838,2569.7297368,9160.6210948
1449,8040.5400398,2747.5197758,9272.7509778
1507,8178.7500008,2648.4699718,9202.3710948
1508,8410.1796888,2565.2397468,9324.5009778
1528,8342.1103528,2550.3198248,9204.0517588
1529,8834.5703128,2423.6599128,9043.2509778
1544,8142.5800788,2508.7497568,9128.6611338
1548,8037.0400398,2689.4399418,9269.9814458
1584,8506.9501958,2440.2597668,9167.8115238
1652,8072.5200208,2528.6499028,9170.4814458
1709,8046.7197278,2723.9199228,9207.0917978
1728,8249.2294928,2474.8598638,9147.1308598
1732,8666.1396488,2476.2497568,9172.9912118
1734,8187.6201178,2678.8398448,9270.5712898
1772,8795.2001958,2506.0498058,9164.5009778
1790,8575.7001958,2614.6499028,9297.4814458
1867,7905.7998058,2619.2099618,9117.0312508
1879,8770.6796888,2547.7199718,9009.3613288
1904,8303.0000008,2586.5297858,9256.0712898
1906,8172.1899418,2602.7797858,9170.5009778
1919,8867.9599618,2485.9499518,9216.9912118
1959,8065.4096688,2679.5698248,9287.0214848
1991,8800.7695318,2461.3898938,9210.7011728
2033,8082.5097668,2588.3298348,9193.4111338
2057,8440.3496098,2547.0097668,9281.2812508
2062,8679.0898448,2510.1899418,9116.6816418
2070,8839.6201178,2492.7697758,9163.5312508
2071,8320.3798838,2476.2597668,9152.2314458
2072,8663.0302738,2399.6298838,9196.0410168
2085,8871.9394538,2500.3898938,9271.6513678
2159,8752.9394538,2592.2397468,9212.1816418
2223,8379.9101568,2617.5598148,9231.2812508
2235,8678.8300788,2425.1098638,9152.2910168
2259,8581.7099618,2611.7597668,9267.1816418
2280,8096.9096688,2579.9699718,9154.6513678
