gid,x,y,z
27,7031.6279308,1826.3198248,7811.7812508
92,8155.0200208,1608.4598398,7661.5014658
125,7184.8100598,1680.3398448,7676.8413098
127,7712.3598638,1619.6198738,7840.6713878
136,7113.7910168,1705.8398448,7610.7114268
143,7867.8500988,1563.5397958,7885.4614268
198,7008.4848638,1898.4398198,7835.4614268
225,6967.1220708,1819.9398198,7735.7612308
294,7412.1958018,1839.2198498,7745.5112308
300,8008.6796888,1565.0598148,7798.4711918
338,7109.4096688,1787.5098888,7769.8115238
345,7710.8398448,1616.3898938,7872.0214848
366,7601.2797858,1640.6398938,7814.5214848
408,7883.7397468,1576.1098638,7827.0615238
454,8002.8701178,1694.2897958,7268.3413098
470,6980.3598638,1808.8398448,7709.8413098
548,7989.5200208,1592.4698498,7438.2114268
588,7499.6157238,1674.2098398,7833.8212898
602,8024.8398448,1672.3498548,7321.6015628
618,7649.5097668,1618.0498058,7559.2011728
654,7625.0000008,1592.8598638,7773.5415048
702,7732.9697278,1562.3198248,7850.8115238
729,7534.1396488,1587.7498788,7811.4614268
755,8064.3300788,1577.8398448,7594.7412118
772,7156.7006848,1785.8298348,7845.9111338
844,7872.8896488,1505.8298348,7724.3315438
912,7962.7797858,1482.9598398,7571.9511728
923,7472.7939458,1561.9198008,7680.3515628
954,7031.8701178,1838.5598148,7786.1914068
984,8119.5800788,1659.3098148,7695.9013678
1043,6942.4257818,1817.4198008,7637.8715828
1072,7965.1899418,1635.2398688,7385.4614268
1104,7097.1938488,1750.0598148,7676.3911138
1210,8015.0600598,1537.6599128,7467.8911138
1223,7146.4531258,1813.5198978,7894.1914068
1247,8137.5400398,1738.1898198,7548.9711918
1271,6937.5947278,1846.3098148,7674.5112308
1284,7504.5878918,1647.4798588,7696.6113288
1358,7881.3100598,1501.5598148,7568.5014658
1376,7035.9008798,1714.4998788,7636.2011728
1415,7760.1899418,1502.7298588,7690.3012708
1427,8030.0698248,1568.3198248,7806.7314458
1433,7025.5478528,1817.2098398,7756.1513678
1491,6956.6958018,1832.7799078,7706.8012708
1547,7573.0200208,1615.7398688,7620.5712898
1561,8079.9697278,1678.8999028,7548.1313488
1647,7455.7006848,1673.9898688,7766.0312508
1679,7228.2846688,1606.5299078,7724.8413098
1685,7688.0097668,1554.9198008,7705.4213878
1694,7872.2397468,1553.3398448,7881.1713878
1731,6988.0546888,1806.0798348,7743.4814458
1752,8172.2597668,1693.8498548,7442.9511728
1762,7137.0727548,1849.2897958,7848.7812508
1765,7157.6308598,1794.0397958,7835.1914068
1799,8005.6298838,1720.6298838,7298.1215828
1829,6944.6396488,1834.4198008,7700.7714848
1837,7946.5698248,1522.1398938,7548.9614268
1856,8164.9897468,1638.7098398,7715.6914068
1868,7048.3188488,1698.8098148,7646.2114268
1884,7911.9897468,1686.1499028,7452.7514658
1920,6996.5747078,1889.3898938,7807.0014658
1970,7430.0610358,1648.6599128,7658.8715828
2021,7060.7670908,1736.5998548,7718.7114268
2025,7321.5229498,1590.1798108,7652.1113288
2028,7051.3090828,1703.4398198,7716.2114268
2059,7146.6889658,1783.8598638,7847.2314458
2100,7437.6137708,1664.0098888,7797.1411138
2103,7425.7709968,1612.8098148,7657.7915048
2107,7575.3198248,1703.3298348,7858.6015628
2128,7527.5600598,1581.5498058,7879.6914068
2134,7798.7299808,1551.0898448,7635.0014658
2156,7022.2460948,1864.9698498,7803.6811528
2160,7336.9707038,1707.6998298,7939.3212898
2184,7271.6787118,1710.8198248,7741.9912118
2205,7423.1127938,1625.4298108,7617.4311528
2291,7740.8198248,1499.5698248,7735.0214848
2292,7791.1899418,1588.3298348,7807.1113288
2314,7208.6850598,1746.4698498,7865.8012708
2315,7971.1796888,1560.8298348,7512.3212898
2336,7661.6699228,1652.0299078,7654.9414068
2354,7847.3100598,1530.6998298,7726.0415048
2376,7267.2939458,1656.4698498,7612.0712898
2386,7728.9697278,1514.9598398,7756.6113288
2415,8140.6000988,1608.2998058,7402.6113288
2449,7715.6298838,1588.1798108,7915.6914068
2467,6951.2177738,1860.5198978,7726.2011728
2488,7029.8886728,1806.4898688,7762.6215828
2511,7985.7099618,1557.8098148,7848.0712898
