gid,x,y,z
6,8086.1596688,4965.3300788,9291.2314458
7,8071.6298838,5138.2700208,9164.2011728
22,8252.5302738,2388.0598148,9048.4814458
35,8419.6699228,4434.8828128,9787.3613288
43,8244.9394538,2662.7199718,9210.5517588
48,7851.9096688,1673.5698248,8098.1411138
49,8129.4096688,4712.9589848,9375.8515628
82,8415.4501958,3866.5163578,9777.6914068
86,8204.9599618,5046.3896488,9493.7011728
90,8217.4501958,5068.8300788,9486.1708988
109,7969.1396488,5068.3696298,9090.4716808
111,8165.5498058,2132.4399418,8789.0810558
127,7712.3598638,1619.6198738,7840.6713878
157,8060.2299808,5022.4697278,9280.6210948
174,7460.2700208,1600.5198978,7301.7915048
181,7853.9697278,1667.6998298,8078.1611338
185,8395.2597668,4538.0756848,9736.4609388
187,7269.4189458,1554.2198498,7070.4511728
197,8377.9296888,4168.2817388,9796.4716808
199,8221.0195318,2320.0598148,9010.3808598
200,8094.3896488,4931.3198248,9281.4316418
209,8341.8798838,4686.9409188,9766.4111338
220,8195.1201178,4948.5996098,9404.6210948
226,8224.7500008,4966.7299808,9501.1308598
235,8325.7001958,4876.4799808,9678.6308598
239,8319.5302738,2539.0097668,9238.4814458
241,8457.4794928,3320.0288098,9752.9912118
246,8213.1796888,2436.3999028,9110.2109388
257,8278.3798838,4827.9897468,9637.6708988
265,8037.1396488,5175.2299808,9091.0410168
267,8517.7597668,3979.4587408,9861.3515628
286,8177.8999028,2276.8498548,8913.4208988
303,8281.7099618,2550.4399418,9151.2714848
310,8302.5195318,2594.4099128,9258.7812508
312,8324.1396488,2731.9099128,9368.8212898
316,8286.1494148,2425.4997568,9101.2011728
320,8366.4101568,2933.6889658,9486.6015628
330,7988.7397468,5217.1699228,9096.8115238
335,8416.4199228,2981.9858408,9570.2509778
345,7710.8398448,1616.3898938,7872.0214848
351,8038.9799808,4987.9296888,9194.1015628
355,8373.3798838,3109.0468758,9558.2617198
382,6963.3129888,1859.6698008,6432.1591808
386,8535.3994148,3586.7839368,9870.9414068
387,8223.7998058,2420.9499518,9089.6210948
389,8199.4599618,2179.7998058,8901.0810558
393,8395.4296888,3627.1967778,9715.8515628
403,8456.9501958,3521.7287608,9727.8417978
405,8043.2700208,5135.3198248,9094.8115238
411,8164.0297858,2218.5498058,8854.4814458
415,8240.3798838,2413.6699228,9049.8115238
416,8192.0898448,2346.4199228,8980.2216808
436,7254.7680668,1560.6998298,6920.4311528
443,8097.6596688,2290.5698248,8856.4716808
455,7973.0200208,1756.3498548,8373.7714848
481,8434.0800788,3375.3559578,9746.9316418
503,8417.0302738,3993.2297368,9774.6113288
506,8036.3500988,1940.8198248,8521.5615238
516,8445.6796888,3927.0952158,9793.8115238
523,8115.4296888,2082.0898448,8690.9013678
530,8107.8896488,4932.2397468,9349.2812508
534,8371.4599618,3033.2358408,9553.9414068
561,8052.4799808,5182.5097668,9106.5214848
571,8378.2900398,2881.5378428,9432.3310558
574,8447.3603528,3600.8088388,9794.2216808
593,8080.2397468,5133.4199228,9175.8710948
595,8392.3994148,3969.1938488,9766.1113288
603,8446.6796888,3268.0979008,9626.8515628
605,8467.7001958,4274.4599618,9830.5312508
628,8068.9296888,5168.1699228,9163.9716808
633,8286.6796888,2737.7597668,9300.8808598
638,8287.5800788,2772.6799328,9332.2011728
642,8483.9296888,3268.6257328,9680.9912118
645,8311.7294928,2812.6699228,9371.0009778
654,7625.0000008,1592.8598638,7773.5415048
660,8362.4794928,2779.7297368,9404.2412118
668,8277.4394538,2818.0598148,9328.9111338
673,8371.0498058,4160.9106458,9754.7812508
675,8252.6396488,2367.2199718,9055.3808598
702,7732.9697278,1562.3198248,7850.8115238
722,8210.7001958,4891.4697278,9492.7216808
725,7243.7490238,1589.7498788,6840.9643558
730,8395.2001958,3420.7678228,9698.9013678
738,8329.7099618,2546.4299328,9225.1611338
743,8232.2695318,2281.4399418,8952.5615238
752,8380.0000008,2768.2797858,9351.0917978
770,8521.3701178,3453.7329108,9792.7412118
771,8209.6796888,4936.7597668,9422.5810558
774,8117.2299808,4903.8198248,9225.2109388
781,8237.4697278,4780.9868168,9534.8115238
784,8205.9902348,2517.8098148,9129.9814458
787,8384.3701178,2758.6599128,9351.9208988
793,8367.7500008,4747.5908208,9786.7714848
805,8278.1298838,4931.1396488,9666.4716808
813,8354.0498058,4553.6269538,9775.0517588
815,7891.2397468,5090.4199228,8826.0009778
838,8472.2294928,3515.1308598,9767.8613288
840,8285.2197278,2564.9897468,9257.8212898
851,8416.3095708,2830.4719248,9479.5009778
857,8129.3500988,2277.1799328,8932.8017588
866,8004.4599618,5075.4497078,9102.1513678
883,8530.6103528,3309.9587408,9762.3417978
892,8278.6601568,2636.5397958,9306.5517588
897,8033.3198248,1881.8898938,8520.5917978
906,8471.8496098,3099.2687998,9666.8115238
908,8504.9199228,3949.6818858,9839.7910168
914,8156.0898448,2322.7497568,8998.3613288
930,8156.7998058,2204.6699228,8976.0117198
935,7035.1450208,1777.4898688,6592.1484388
964,8299.8994148,4661.1318368,9671.3916028
971,8283.3994148,4755.8798838,9653.4013678
973,8375.3896488,3126.1408698,9569.8310558
982,8262.8095708,2393.8598638,9049.0517588
983,8160.9897468,2350.4199228,9027.5117198
1001,8382.5498058,4221.6147468,9735.2617198
1005,8450.1894538,4100.4028328,9828.4716808
1040,8402.0996098,4400.0610358,9791.4111338
1057,8284.5703128,5087.6596688,9560.8515628
1061,8011.2099618,5208.7500008,9093.9609388
1092,8399.2402348,3144.7387708,9604.7314458
1094,8470.0595708,4130.1259778,9816.1513678
1097,8412.0302738,2775.0498058,9411.3613288
1098,8432.8203128,3855.3422858,9784.4414068
1115,8455.4794928,3683.3908698,9750.1113288
1123,7838.6596688,1702.6798108,8192.5214848
1134,8458.2099618,3783.9860848,9804.1416028
1158,7907.4399418,4976.5800788,8908.5009778
1160,8369.8701178,3377.7087408,9577.2011728
1171,8241.5400398,2640.4199228,9244.8212898
1204,8381.3095708,4377.8979498,9834.6513678
1211,7112.7387708,1784.7897958,6583.1704108
1214,6858.9980478,2033.4998788,6156.6005868
1218,8385.6796888,4561.6406258,9716.7011728
1220,8366.6601568,4144.8417978,9755.1308598
1225,6913.8769538,1885.3398448,6306.0063488
1238,8495.3300788,3674.5068368,9856.3613288
1242,8298.5898448,4894.5800788,9717.2509778
1244,6853.0927738,1986.1998298,6241.6035168
1252,7805.0698248,1667.7698978,8047.7412118
1276,8049.0097668,5043.6899418,9119.0410168
1279,8281.9794928,2511.9099128,9186.5117198
1295,7999.0400398,5260.4296888,9097.0712898
1302,8016.9697278,4995.7597668,9076.2812508
1321,8443.8701178,4400.4086918,9776.4912118
1327,8155.8896488,2262.3698738,8970.8916028
1334,7902.8500988,5139.2299808,8800.6914068
1359,8389.2695318,3670.0898448,9739.8515628
1373,8461.1894538,3146.2958988,9603.2216808
1374,8391.4501958,4544.7446298,9743.5312508
1379,7513.0800788,1498.2398688,7401.8515628
1381,8373.3496098,4509.5576178,9801.2910168
1399,8490.9501958,4195.9238288,9870.8613288
1401,8354.2001958,4860.8100598,9759.5517588
1404,8535.3798838,3604.9897468,9840.3916028
1420,7379.8320318,1530.2698978,7212.0112308
1424,8363.0302738,2969.0019538,9493.6416028
1452,7960.1596688,4934.0698248,8995.5117198
1461,8040.0698248,5287.0698248,9109.3212898
1464,7790.5000008,1637.5698248,7972.1513678
1474,7973.7099618,1868.0698248,8444.8310558
1476,8401.4101568,4607.9560558,9837.6611338
1480,7991.5898448,5160.0898448,8994.3613288
1483,8343.8398448,4606.2387708,9712.2812508
1488,8158.4897468,2321.0698248,9029.8212898
1492,8262.6298838,4904.4799808,9572.1914068
1501,8197.8994148,2215.0097668,8968.4111338
1524,8080.5498058,5079.4599618,9327.8115238
1547,7573.0200208,1615.7398688,7620.5712898
1559,7138.9780278,1611.7897958,6780.0454108
1560,7818.8999028,1664.0498058,8150.1411138
1573,7917.6596688,4899.5898448,8998.6416028
1589,7914.3701178,1785.8298348,8329.1816418
1598,8404.5400398,3727.3049328,9736.6210948
1599,8363.2998058,3024.7558598,9515.5517588
1614,8423.8994148,3197.8688968,9621.1308598
1617,8366.2695318,3241.3718268,9614.7812508
1620,8482.1601568,3847.7646488,9753.9716808
1626,8367.7294928,3326.9567878,9585.3710948
1648,8317.7695318,4880.0200208,9643.4814458
1651,8490.3603528,3830.7988288,9762.5810558
1654,8112.7998058,4993.1196298,9345.0917978
1665,8452.8496098,3459.4997568,9747.1210948
1668,7965.8198248,5281.0000008,9097.5712898
1671,7434.4370128,1545.3398448,7217.4511728
1674,8157.0200208,4849.8798838,9393.8212898
1680,8272.6201178,2877.8569348,9361.7412118
1683,8180.9296888,2262.7697758,8861.4316418
1684,8225.9101568,4910.0996098,9597.6914068
1685,7688.0097668,1554.9198008,7705.4213878
1686,7315.4467778,1569.0098888,6968.8715828
1687,6969.8359388,1879.3598638,6355.4365238
1688,7360.9228528,1525.9998788,7184.8315438
1691,8367.8496098,4394.2910168,9759.7109388
1696,8342.0800788,2754.1398938,9437.0917978
1700,8326.1396488,2805.3999028,9424.1914068
1722,8204.3496098,2161.0798348,8948.7509778
1727,8436.0195318,3432.4367688,9725.6914068
1728,8249.2294928,2474.8598638,9147.1308598
1740,8348.8896488,2900.5378428,9440.6113288
1780,7444.6879888,1582.6298838,7436.7915048
1782,8188.2299808,2333.8999028,8988.7509778
1789,8374.2001958,4576.4160168,9702.6210948
1792,7732.2597668,1620.9598398,7953.0712898
1801,8468.8603528,4172.0927738,9848.4716808
1827,8381.8994148,3362.0197758,9661.3710948
1842,8441.7402348,3554.4367688,9700.1113288
1844,8044.4199228,5033.4296888,9063.8212898
1848,7952.5600598,4918.1298838,9031.4609388
1862,8445.3300788,3383.2177738,9799.1113288
1870,8054.0400398,5095.0800788,9277.7812508
1871,8302.5595708,4506.3540048,9692.7412118
1881,8528.8994148,3611.3278818,9839.0712898
1886,8090.2900398,5012.2197278,9372.5917978
1892,8196.3398448,4934.9599618,9417.8515628
1900,7990.4296888,1872.6698008,8443.2412118
1904,8303.0000008,2586.5297858,9256.0712898
1908,8262.1298838,4966.2797858,9572.3710948
1931,7097.9790048,1683.3398448,6700.4003918
1936,8497.1699228,3922.8640148,9835.1708988
1943,7136.2397468,1659.4298108,6741.2451178
1946,6877.8378918,2001.9298108,6244.4663098
1950,8381.9794928,2844.4328618,9439.7617198
