gid,x,y,z
1,8125.3701178,2469.2697758,9085.1611338
4,8230.1699228,2692.0698248,9283.8515628
8,8188.3198248,2787.1799328,9385.8017588
14,7252.2519538,1546.0998548,7105.7114268
28,7582.0600598,1737.3598638,7888.6313488
29,8276.5703128,3423.1237798,9600.0712898
46,7967.1201178,5144.3598638,9149.5712898
47,8242.0800788,4830.5000008,9683.2910168
56,8129.1098638,2599.8098148,9241.1611338
67,8114.8701178,2491.5397958,9148.6015628
72,8155.4897468,2479.0498058,9130.9716808
87,6737.5869148,2050.2497568,6271.3173838
114,8054.9897468,4601.3027348,9424.4208988
132,8158.6997078,2341.1799328,9036.5615238
133,6913.7119148,1693.8398448,6598.9633798
140,8347.2402348,4202.6816418,9791.1611338
146,8287.3994148,4216.1967778,9744.6210948
150,8328.1201178,3141.9968268,9621.7509778
153,8253.3300788,3191.0627448,9510.5917978
163,7952.1899418,2037.8398448,8675.2714848
168,8129.9096688,4535.4936528,9516.5410168
169,8224.7197278,4400.5898448,9692.1611338
170,7072.4140628,1589.4598398,6846.0913098
178,7206.8476568,1564.4298108,6982.7114268
216,8221.2099618,4482.8510748,9691.9208988
217,8220.9296888,2512.8398448,9208.9111338
218,8241.1298838,4231.4560558,9745.4609388
224,8375.5302738,3864.2370618,9786.0810558
232,7988.9096688,4939.1699228,9304.7509778
233,8324.3095708,2976.5207528,9530.0214848
236,8167.5200208,2700.6599128,9300.2812508
258,8095.2797858,4769.8486338,9523.9111338
278,7615.0698248,1711.3999028,8025.7114268
279,8002.1899418,2043.3698738,8664.5615238
280,7999.3100598,4888.8798838,9280.7617198
304,8116.2700208,4286.1279308,9484.7109388
305,8224.1894538,4292.5517588,9706.5312508
331,8282.0000008,3325.9008798,9575.6611338
352,8333.5996098,3700.9299328,9764.4111338
361,8222.4296888,2690.5898448,9276.7011728
362,8324.0996098,4201.4018558,9919.7509778
366,7601.2797858,1640.6398938,7814.5214848
399,8348.4199228,4211.1748058,9777.3017588
400,8326.9296888,3622.8449718,9837.5214848
402,8222.9697278,2938.5959478,9419.5214848
423,8132.4897468,2628.9299328,9185.1015628
426,8109.0898448,4636.4599618,9473.7617198
428,7978.9897468,2029.7799078,8689.0917978
433,7956.2597668,5021.7797858,9133.5917978
461,8334.2597668,3209.8188488,9652.4208988
463,8279.2500008,3564.0549328,9680.7216808
482,8204.0595708,4736.7788098,9565.9814458
483,8060.5800788,4739.2099618,9323.7617198
484,8335.4199228,3334.0588388,9668.6611338
489,8273.7402348,4358.7680668,9750.3310558
491,8155.1396488,2530.0197758,9125.0712898
500,8346.1396488,3887.8144538,9766.4414068
502,7816.7099618,1859.6499028,8376.9716808
535,7816.9199228,1716.3298348,8230.8310558
545,8284.8203128,3812.8029798,9784.6513678
549,8193.0302738,4685.3979498,9646.5615238
551,8273.3603528,2760.8598638,9353.7910168
562,8038.6899418,2323.3098148,8883.5009778
573,8267.4697278,2854.5129398,9440.8808598
607,8256.9697278,3572.4609388,9657.5810558
610,8160.5297858,2651.2199718,9217.9716808
612,8239.5595708,4769.1049808,9712.3417978
613,7101.1840828,1640.2298588,6760.6992198
615,7984.7197278,2215.6499028,8879.5312508
616,8250.3603528,4242.9477548,9730.1015628
646,8400.7802738,3904.2519538,9864.4316418
649,8284.8300788,3736.9848638,9722.8613288
663,8260.5195318,3091.2099618,9515.5517588
688,8137.3896488,2692.4099128,9226.9511728
689,7402.5668958,1721.0598148,7410.4912118
701,8280.3095708,4349.4428718,9785.6308598
706,8111.9897468,2614.1799328,9170.4716808
719,8048.4799808,4963.4199228,9292.0517588
729,7534.1396488,1587.7498788,7811.4614268
735,8148.2797858,2532.0698248,9135.2812508
736,8180.0600598,2590.0698248,9168.7412118
737,8129.0297858,4369.9340828,9541.3212898
745,8302.9599618,3005.4838878,9540.0917978
753,8206.0498058,2822.8298348,9434.1816418
763,8055.5400398,4512.0400398,9427.5615238
765,7940.0898448,1935.3498548,8539.8115238
775,8168.1499028,2759.2297368,9330.5517588
777,8277.8896488,3355.2387708,9639.2714848
782,7957.8598638,4820.3686528,9286.4814458
791,8196.6396488,2611.0598148,9241.7812508
795,8304.8994148,3697.5927738,9773.1308598
797,8189.9799808,4679.0498058,9679.0712898
799,8404.9599618,3781.9096688,9844.2714848
817,8126.3300788,2613.9797368,9211.2812508
827,8131.7099618,2517.5698248,9069.8515628
831,7099.5957038,1600.0198978,6960.1215828
850,8274.4697278,3335.2687998,9660.4316418
871,8161.2597668,4722.6518558,9524.9511728
872,8047.0097668,4579.5600598,9409.7509778
877,8309.8398448,3955.5158698,9724.8916028
878,8192.2998058,2651.1298838,9235.1308598
882,8116.8798838,2438.7297368,9112.5917978
885,8039.7998058,2262.4997568,8895.7617198
889,8123.4096688,4493.1186528,9364.5810558
898,7171.9609388,1586.6098638,6990.3012708
899,7166.3989268,1619.0898448,6951.5815438
902,8294.5195318,4332.3100598,9792.4111338
915,8355.0000008,3308.5239268,9626.7812508
916,8244.2099618,3361.2858898,9602.6914068
921,8377.2500008,3629.3398448,9749.5712898
923,7472.7939458,1561.9198008,7680.3515628
931,8349.0400398,3180.6728528,9694.2910168
936,8299.5400398,4467.5766608,9749.0810558
938,7178.6376958,1584.1499028,7035.5815438
942,8041.9697278,2221.1198738,8803.3212898
945,7698.7299808,1740.4298108,8171.6713878
951,8301.7294928,2898.6718758,9468.2314458
955,8171.6098638,2622.0097668,9213.6015628
958,8270.0000008,3339.3898938,9646.1015628
975,8219.7197278,2504.4699718,9195.1816418
987,8355.6396488,3729.0678718,9741.2011728
1002,8260.1494148,3628.4619148,9655.6210948
1003,8310.2900398,4145.8779308,9740.0410168
1016,8196.7197278,2705.0498058,9261.3916028
1017,7094.7490238,1609.3298348,6800.8022468
1055,7990.8100598,5028.6796888,9265.2314458
1062,8153.4897468,2623.9797368,9250.3310558
1066,8249.9501958,3341.9018558,9610.1015628
1068,8048.1298838,2268.0798348,8912.2109388
1110,8153.2299808,4720.2460948,9626.6816418
1116,8121.2900398,4761.7348638,9393.0009778
1129,8234.9101568,3843.8630378,9678.3916028
1137,7997.3999028,4849.1899418,9182.3515628
1141,8281.5097668,2972.1809088,9452.0214848
1142,8294.5703128,4286.7138678,9738.2412118
1149,8374.3496098,4146.5957038,9810.1708988
1155,8146.4096688,4633.4438488,9532.4316418
1172,8250.7802738,4254.7397468,9766.9814458
1183,8270.0097668,4137.5659188,9742.4511728
1191,8136.4296888,2375.7597668,9005.3613288
1196,8288.7099618,3552.1938488,9746.1015628
1205,7261.9599618,1566.9298108,7272.1113288
1236,8344.2597668,4266.9067388,9776.1210948
1241,8262.5595708,3979.8947758,9688.1416028
1249,8322.4101568,4084.6318368,9779.5312508
1251,8105.8500988,4779.3457038,9499.3017588
1257,8152.2900398,2629.0898448,9203.6308598
1277,8267.4902348,3556.5607918,9676.8310558
1278,8241.8994148,2687.4299328,9370.2714848
1284,7504.5878918,1647.4798588,7696.6113288
1289,8344.9501958,3454.9548348,9775.6210948
1298,7975.5297858,5000.0000008,9357.4013678
1310,8128.6699228,4351.1860358,9506.9414068
1313,8255.7900398,3185.7468268,9550.5615238
1316,8086.1596688,2395.5397958,9003.5712898
1318,8279.2294928,3833.9021008,9721.6113288
1320,7924.8100598,1948.2598888,8535.3417978
1324,6869.5356458,1860.8798838,6471.9355478
1325,7649.4897468,1820.5098888,7983.1713878
1336,8293.0498058,3050.4528818,9606.1210948
1337,8186.7998058,2790.3999028,9342.3515628
1343,8218.2294928,2698.5498058,9297.0117198
1353,8022.3798838,4892.9399418,9303.2314458
1384,8261.4296888,3629.4067388,9669.4716808
1388,7211.2109388,1538.7698978,7099.3715828
1391,8193.8798838,2569.7297368,9160.6210948
1393,8211.0400398,3003.1499028,9473.4013678
1402,8295.7402348,3191.4467778,9614.9414068
1406,7099.6606458,1629.6599128,6783.3623058
1408,8285.3798838,3604.6579598,9685.5810558
1410,8251.0898448,4265.8618168,9785.7617198
1414,8198.0898448,4720.6328128,9593.3808598
1428,8216.9794928,2996.7397468,9429.6513678
1456,7765.8598638,1770.8999028,8220.9414068
1467,8029.7197278,4740.6616218,9398.8212898
1502,8156.2299808,4751.3608408,9521.3115238
1503,8219.6103528,4596.3227548,9639.0615238
1507,8178.7500008,2648.4699718,9202.3710948
1509,6941.5161138,1706.4798588,6637.1831058
1518,8268.5097668,3920.5583508,9706.0615238
1521,8249.2197278,4705.5126958,9686.1816418
1532,8396.9794928,3710.8249518,9864.3115238
1539,8354.0302738,3604.8769538,9708.3515628
1543,8233.0000008,3525.9997568,9601.1708988
1544,8142.5800788,2508.7497568,9128.6611338
1558,8279.7998058,4127.3730478,9729.8017588
1567,7948.9697278,2174.4797368,8782.1015628
1568,8207.2402348,4732.3676768,9609.7216808
1571,6759.8837898,2010.5198978,6315.6142588
1595,7901.8598638,4933.4399418,9009.2617198
1602,8007.5200208,4729.7797858,9255.5410168
1611,8238.7998058,2832.0048838,9361.6015628
1615,8312.1699228,3448.2768558,9677.3115238
1631,8268.7695318,3697.8149418,9727.9511728
1636,8045.2197278,2322.6899418,8970.7216808
1641,8017.1000988,4800.1586918,9319.9414068
1650,7944.8999028,4916.5996098,9192.7714848
1670,8276.7500008,2752.7697758,9365.0917978
1673,8293.6494148,2687.0097668,9389.5009778
1682,8287.4794928,3751.3020028,9679.5615238
1689,8126.8398448,4516.8378918,9480.8310558
1690,7918.3198248,4753.2387708,9106.9414068
1701,7354.3876958,1555.0798348,7419.8212898
1702,8226.0996098,4458.6787118,9625.8417978
1707,8207.4296888,2758.7597668,9337.7011728
1710,8245.0800788,2736.7297368,9341.9814458
1712,8003.4399418,2110.3198248,8677.3310558
1713,8251.0703128,2929.4858408,9435.4013678
1729,8005.8701178,2202.2397468,8787.5615238
1734,8187.6201178,2678.8398448,9270.5712898
1739,8117.4399418,4445.0639658,9550.8710948
1748,8336.2597668,3438.1027838,9698.0214848
1750,8309.0800788,4617.2319348,9769.2509778
1754,7011.1528328,1810.9498298,6602.4614268
1760,8125.1499028,4623.5297858,9444.6015628
1761,8055.2299808,4520.5659188,9440.7910168
1764,6847.7788098,1917.9198008,6386.3603528
1775,8101.9296888,4688.8950208,9505.0214848
1779,8255.1201178,4033.3149418,9733.6708988
1785,7195.5766608,1577.4398198,6950.5214848
1798,8340.2998058,3478.8398448,9703.9814458
1814,7354.7006848,1577.4798588,7311.0112308
1821,8331.4794928,3775.0546888,9770.9716808
1826,7794.6396488,1936.3999028,8440.5312508
1834,7236.7207038,1509.5098888,7006.5415048
1859,7783.0200208,1937.8598638,8413.4912118
1864,8236.5195318,3609.3039558,9635.5615238
1880,7645.5498058,1828.9298108,8012.6811528
1889,7902.1997078,4942.1699228,8992.0810558
1894,8263.2900398,2993.0649418,9506.2509778
1899,8327.5595708,3540.6218268,9737.0615238
1906,8172.1899418,2602.7797858,9170.5009778
1911,8266.6894538,3270.2277838,9595.2216808
1930,8047.6000988,2168.3999028,8798.7109388
1942,8227.3896488,4344.8676768,9748.4912118
1961,8086.5498058,4644.7006848,9481.2412118
1962,8254.3701178,3043.7397468,9503.7910168
1982,8272.6796888,4122.5986338,9701.6513678
1998,7977.1699228,2149.2897958,8766.2216808
2008,7437.4179698,1558.2897958,7510.0112308
2011,8196.8300788,2801.8999028,9399.0009778
2032,7254.1967778,1531.2698978,7110.0615238
2040,8317.3896488,3555.1098638,9787.9013678
2041,8273.9599618,3602.2209478,9679.6816418
2044,8001.5000008,4811.6796888,9201.2011728
2074,8087.1396488,4756.8476568,9461.5917978
2088,8322.7099618,3345.4787608,9665.6210948
2096,8248.4394538,4747.1127938,9698.2509778
2107,7575.3198248,1703.3298348,7858.6015628
2114,8323.0195318,3560.0559088,9779.5917978
2117,8281.1103528,4224.0820318,9733.1708988
2121,7852.7299808,1966.0998548,8529.2109388
2143,7362.4008798,1550.7698978,7373.1215828
2144,7968.7998058,2083.8598638,8682.8808598
2174,7235.1796888,1525.1298838,7002.8413098
2182,8041.7099618,2372.6999518,8972.5615238
2195,8279.5996098,4528.1650398,9700.3115238
2200,7944.6796888,4785.3120128,9228.7011728
