gid,x,y,z
13,8235.8701178,1739.3498548,8104.2915048
54,8163.6596688,1737.4998788,8131.3212898
60,7528.0698248,2023.9998788,8405.8417978
64,7326.8579108,1964.0898448,8255.4208988
95,8216.0000008,1755.5898448,8166.6713878
107,8219.8896488,1778.3999028,8369.4511728
164,8225.2001958,1770.4498298,8183.8613288
184,7610.9697278,1859.1298838,8279.9814458
191,7558.7700208,1969.4298108,8380.6611338
195,8061.7500008,1705.1298838,8206.1513678
201,8149.8798838,1827.2498788,8330.7617198
203,7997.5498058,1784.2897958,8265.2714848
214,8238.1796888,1833.9698498,8323.7216808
293,8171.0200208,1829.7799078,8300.8115238
342,7589.2797858,1946.1098638,8358.3808598
394,8247.4697278,1873.9598398,8366.6015628
455,7973.0200208,1756.3498548,8373.7714848
466,7662.8500988,2026.8498548,8303.1113288
502,7816.7099618,1859.6499028,8376.9716808
533,8384.4697278,1856.2198498,8345.3808598
582,8233.6103528,1774.8298348,8211.7714848
624,8118.0400398,1892.7698978,8322.5410168
636,7269.7031258,2009.1398938,8186.6411138
651,7363.9028328,2057.2998058,8420.1914068
657,8318.2900398,1778.2598888,8220.9511728
667,8228.0000008,1852.5397958,8340.4316418
670,8152.7099618,1707.8598638,8227.1113288
705,7605.1396488,1866.4198008,8297.1113288
712,8127.9897468,1741.6998298,8133.8911138
769,8374.2900398,1815.5198978,8343.7109388
786,7571.8701178,1940.3098148,8224.1210948
864,7500.5820318,2016.0498058,8334.9316418
876,8071.6899418,1727.6698008,8234.4111338
888,7582.5698248,2042.4498298,8316.1015628
957,8116.0297858,1771.7799078,8206.3417978
986,7607.0498058,1985.1998298,8404.6708988
990,7609.8198248,1860.8398448,8290.4414068
1019,7321.6918958,1963.6499028,8270.8212898
1027,8380.3095708,1818.9598398,8187.6713878
1042,8330.8701178,1765.8298348,8249.5117198
1054,7692.2700208,1959.3398448,8474.7509778
1078,8093.4096688,1818.4398198,8225.1015628
1156,7596.4096688,1929.9298108,8409.3515628
1162,7375.1137708,2066.8999028,8372.4013678
1273,8437.4501958,1881.6499028,8214.5917978
1285,7594.2900398,1840.7598888,8239.0917978
1303,7517.5097668,1806.4198008,8274.1015628
1338,8353.2998058,1706.7198498,8155.1313488
1347,7549.2197278,1999.4598398,8444.1708988
1352,8165.6796888,1827.6698008,8306.2509778
1371,7193.5488288,1996.7398688,8161.3115238
1372,8084.8398448,1804.9398198,8402.0410168
1385,8075.3500988,1760.6398938,8265.5917978
1390,8180.7099618,1845.4798588,8412.3115238
1397,8017.2197278,1798.3298348,8307.8916028
1411,8091.4697278,1797.8198248,8216.2109388
1416,8114.5698248,1897.4798588,8313.2216808
1437,8229.9697278,1836.8198248,8344.3916028
1456,7765.8598638,1770.8999028,8220.9414068
1474,7973.7099618,1868.0698248,8444.8310558
1496,8070.1396488,1816.3798838,8294.7216808
1498,8029.8701178,1814.6998298,8367.6816418
1589,7914.3701178,1785.8298348,8329.1816418
1592,8137.4799808,1870.2098398,8358.9316418
1610,7458.8037118,1960.5299078,8235.3916028
1692,7623.2998058,1976.5299078,8469.5712898
1699,8073.7797858,1829.1298838,8379.2509778
1716,8160.3598638,1815.4198008,8347.4414068
1735,7578.0800788,2005.1898198,8284.7412118
1755,8171.0600598,1814.6998298,8281.1113288
1776,7733.2099618,1831.2598888,8319.9814458
1804,8278.4501958,1703.0998548,8154.1113288
1808,8237.7998058,1752.7298588,8244.7910168
1822,8225.5302738,1762.8198248,8167.4013678
1823,7683.9096688,1842.3898938,8362.9414068
1826,7794.6396488,1936.3999028,8440.5312508
1831,8010.2099618,1767.2298588,8223.2314458
1859,7783.0200208,1937.8598638,8413.4912118
1900,7990.4296888,1872.6698008,8443.2412118
1901,7624.2197278,1940.2799078,8399.0214848
1924,7605.9199228,1942.1698008,8344.2011728
1995,8281.4599618,1787.8999028,8273.0009778
2006,7400.6748058,2046.2998058,8163.7612308
2038,7527.9599618,1868.4598398,8237.3212898
2065,8181.5097668,1851.0098888,8407.2509778
2109,8106.0698248,1778.4798588,8219.3417978
2136,8002.5498058,1799.0998548,8264.3808598
2148,7551.0800788,1849.6098638,8283.9609388
2172,7973.0400398,1752.0198978,8252.0810558
2216,8252.6103528,1775.8498548,8105.2812508
2224,7992.6201178,1779.9099128,8231.2412118
2248,7404.8427738,2093.2497568,8220.1513678
2254,8308.9697278,1732.2598888,8093.4912118
2294,8312.1699228,1746.1998298,8069.4213878
2343,8281.8203128,1783.0397958,8365.4013678
2375,7744.3701178,1829.0498058,8378.4511728
2409,8009.3500988,1801.8898938,8273.6914068
2420,8211.4296888,1721.1599128,8114.9511728
2434,8363.4902348,1840.3898938,8316.0810558
2438,7800.5498058,1936.3298348,8433.5009778
2469,8224.2695318,1838.2799078,8327.6611338
2514,8449.6894538,1893.3999028,8283.2509778
2537,7827.3798838,1847.8898938,8375.5312508
2552,8159.3598638,1758.0498058,8201.3017588
2564,8283.4501958,1779.2598888,8253.5312508
2609,8086.4799808,1752.4798588,8167.4311528
2655,7424.5219738,2084.4399418,8387.2412118
2713,8115.8701178,1924.7398688,8369.4414068
2757,8225.1396488,1839.2897958,8412.3916028
2766,8004.1298838,1882.2198498,8468.4511728
2785,7940.5498058,1877.7897958,8495.4013678
2798,7950.3100598,1895.6098638,8429.7314458
2802,7483.7807628,1878.4099128,8256.1611338
2861,7978.9497078,1778.4598398,8385.8515628
2866,8268.6298838,1791.9099128,8093.3315438
2907,8025.2397468,1837.7398688,8338.4912118
2927,7721.1499028,1893.9798588,8409.6210948
2947,7617.1499028,1988.0397958,8422.6513678
2951,7631.3999028,1844.6898198,8215.7509778
