gid,x,y,z
313,6996.2548838,1975.9298108,7978.0712898
709,7008.1059578,1961.0798348,7992.6015628
5261,7005.5800788,1958.6298838,7982.4311528
7924,6992.3876958,1950.5299078,7957.9414068
12099,6999.9121098,1999.4298108,7974.8012708
15987,6997.2377938,1974.7698978,7979.1015628
19666,6821.9667978,1822.3898938,7583.6015628
25139,6813.1289068,1816.2998058,7569.5913098
25918,6990.3549808,1957.4698498,7972.3715828
26640,6989.3647468,1974.4598398,7964.5815438
33166,6991.4257818,1990.6098638,7957.5415048
33378,6991.6948248,1955.0498058,7978.0815438
46650,7000.6816418,1965.1098638,7971.6914068
53266,6988.0507818,1984.5498058,7964.0913098
55571,6822.0781258,1814.9998788,7590.7412118
62997,6993.9960948,1991.7498788,7961.9711918
68214,6991.4829108,1959.4898688,7979.0712898
120819,6998.1308598,1961.7998058,7989.6713878
122230,7002.5190438,1967.5299078,7994.6215828
124179,6991.4150398,1948.1898198,7995.6611338
124531,7000.1269538,1931.6698008,7979.4311528
159909,6990.4936528,1975.2799078,7969.6313488
192050,6989.2670908,1988.9998788,7970.3613288
204684,6996.0268558,1969.3298348,7998.0415048
210443,7008.3066418,1961.0898448,7988.9814458
217120,7002.1806648,1939.2698978,8026.2211918
217129,6898.3828128,1811.9298108,7763.6811528
217722,6906.8227548,1855.1698008,7774.4111338
218443,6622.1699228,1678.3298348,7147.5512708
218609,6895.0288098,1862.3798838,7751.4213878
218926,6891.5678718,1834.7897958,7802.6113288
219864,6897.4228528,1765.3498548,7734.7714848
220131,6889.8066418,1768.2598888,7733.7314458
221486,6942.5039068,1823.2598888,7867.1611338
224914,6889.5869148,1780.3498548,7762.5913098
229698,6997.1928718,1900.5098888,7968.3315438
231855,7010.7109388,1916.5299078,8070.9311528
233234,6901.3281258,1848.1998298,7808.1411138
234241,6899.2548838,1874.1798108,7764.6513678
239787,6891.6137708,1717.2698978,7715.1215828
241095,7002.2636728,1945.1198738,8039.6411138
241156,6890.3999028,1816.9998788,7832.0312508
241470,6906.0708018,1753.5299078,7747.8212898
243511,6899.1269538,1784.1599128,7788.9912118
248201,7093.8217778,1879.8498548,8146.2211918
248859,6622.7490238,1719.3398448,7190.3012708
249251,6906.0781258,1824.6998298,7840.7812508
251562,7009.2998058,1918.8298348,8060.7915048
252341,6895.5380868,1733.2498788,7754.2211918
254095,6904.3149418,1754.1998298,7835.8413098
254745,6973.2187508,1708.8398448,7921.7412118
254928,6830.3930668,1787.4298108,7613.5112308
255652,6633.8281258,1720.4698498,7199.4614268
257787,6888.8701178,1868.9598398,7771.2915048
257940,7091.1420908,1820.1398938,8131.6914068
260083,6618.2148448,1718.5498058,7205.9912118
260177,7099.5268558,1803.3298348,8148.8613288
