gid,x,y,z
59,7153.5336918,1890.0798348,7956.1713878
64,7326.8579108,1964.0898448,8255.4208988
121,6835.3339848,1680.8498548,7282.3413098
189,6955.3950208,1754.3298348,7544.4111338
284,6848.9487308,1756.9298108,7298.4614268
292,7467.5747078,2104.5397958,8496.7011728
338,7109.4096688,1787.5098888,7769.8115238
367,6841.0966808,1708.6698008,7298.6215828
507,6607.0654308,1959.0598148,6755.7343758
513,7244.6606458,1876.2298588,8005.5712898
570,6824.2568368,1661.1499028,7146.0913098
579,6632.1831058,1871.7298588,6915.7514658
636,7269.7031258,2009.1398938,8186.6411138
648,6665.0517588,1789.3398448,6949.8012708
651,7363.9028328,2057.2998058,8420.1914068
715,6666.9516608,1793.9498298,6970.2514658
758,7078.4038098,1881.3298348,7871.0415048
772,7156.7006848,1785.8298348,7845.9111338
792,6839.7548838,1771.0698248,7333.5112308
842,6715.7817388,1800.4198008,7096.3413098
904,6642.5839848,1787.3898938,6800.4785168
937,6613.9838878,1918.0898448,6813.6215828
962,6912.6596688,1773.9798588,7454.0415048
1008,7129.3530278,1894.6198738,7939.1411138
1019,7321.6918958,1963.6499028,8270.8212898
1104,7097.1938488,1750.0598148,7676.3911138
1105,7134.2636728,1912.8098148,7962.4013678
1125,7113.1030278,1918.6098638,7918.0815438
1162,7375.1137708,2066.8999028,8372.4013678
1223,7146.4531258,1813.5198978,7894.1914068
1246,7196.9648448,1817.0998548,7939.8715828
1267,7129.2758798,1941.0498058,7956.0815438
1292,7016.2871098,1702.8198248,7596.1015628
1307,7328.1967778,1885.5198978,8175.9814458
1376,7035.9008798,1714.4998788,7636.2011728
1389,7120.3369148,1918.1098638,7914.0312508
1433,7025.5478528,1817.2098398,7756.1513678
1585,7091.1347668,1876.9398198,7895.0112308
1616,6681.4008798,1805.7198498,6893.2011728
1634,6821.4667978,1664.7498788,7149.6513678
1762,7137.0727548,1849.2897958,7848.7812508
1765,7157.6308598,1794.0397958,7835.1914068
1778,7471.8247078,2141.0898448,8524.1513678
1795,7225.6108408,1864.3298348,8086.8413098
1868,7048.3188488,1698.8098148,7646.2114268
1891,6949.8017588,1674.8698738,7418.8012708
