gid,x,y,z
1,8125.3701178,2469.2697758,9085.1611338
9,8638.3994148,2257.1899418,8776.1416028
21,8565.2597668,2356.3498548,9028.4316418
22,8252.5302738,2388.0598148,9048.4814458
42,8541.9296888,2296.3498548,9009.6611338
61,8406.7998058,2390.9299328,9084.9609388
72,8155.4897468,2479.0498058,9130.9716808
122,8654.5195318,2343.0798348,8943.4013678
132,8158.6997078,2341.1799328,9036.5615238
199,8221.0195318,2320.0598148,9010.3808598
228,8740.5097668,2308.0197758,8873.7714848
230,8846.4296888,2405.1599128,8831.7812508
246,8213.1796888,2436.3999028,9110.2109388
251,8711.9599618,2306.8198248,9009.3417978
286,8177.8999028,2276.8498548,8913.4208988
289,8804.7695318,2234.5998548,8857.8212898
316,8286.1494148,2425.4997568,9101.2011728
333,8252.6201178,2346.6799328,8921.9414068
387,8223.7998058,2420.9499518,9089.6210948
395,8629.1298838,2340.1899418,8953.6513678
415,8240.3798838,2413.6699228,9049.8115238
416,8192.0898448,2346.4199228,8980.2216808
478,8048.4799808,2453.9599618,9091.0312508
480,7905.8598638,2525.6298838,9015.6513678
495,7792.2197278,2410.5698248,8914.4511728
508,8506.3994148,2386.5197758,9011.0615238
519,8489.5097668,2237.2397468,8857.4414068
521,8241.3896488,2250.9099128,8940.0917978
543,8235.1494148,2236.4099128,8943.3017588
629,8733.7597668,2138.4499518,8863.6611338
640,8655.6894538,2246.1499028,8779.0810558
647,8775.0996098,2453.4797368,8906.9208988
662,8404.5195318,2338.6298838,9126.3115238
675,8252.6396488,2367.2199718,9055.3808598
686,7961.1396488,2498.6098638,9005.0517588
707,8451.4902348,2324.3198248,8929.2714848
708,8043.6201178,2464.5798348,9096.5917978
743,8232.2695318,2281.4399418,8952.5615238
750,7950.3500988,2347.3398448,8913.0615238
824,8817.2998058,2446.2099618,8909.1015628
827,8131.7099618,2517.5698248,9069.8515628
849,8691.8398448,2270.2797858,8998.2617198
857,8129.3500988,2277.1799328,8932.8017588
865,8426.4296888,2338.6599128,8945.2812508
882,8116.8798838,2438.7297368,9112.5917978
903,7925.9296888,2373.9997568,9001.2216808
914,8156.0898448,2322.7497568,8998.3613288
924,8273.8496098,2272.2497568,9006.7412118
982,8262.8095708,2393.8598638,9049.0517588
983,8160.9897468,2350.4199228,9027.5117198
997,8726.1396488,2385.3898938,9037.5117198
1074,7806.0498058,2452.2797858,8928.9208988
1080,7906.9497078,2561.0998548,9067.5410168
1090,8738.4501958,2189.7597668,8885.3310558
1095,8532.5400398,2387.4997568,9102.9609388
1126,8677.2998058,2260.2998058,8929.9414068
1151,7906.4199228,2556.7099618,9056.8310558
1182,8607.5996098,2252.1599128,8874.4208988
1186,8779.8300788,2451.0097668,8912.3916028
1191,8136.4296888,2375.7597668,9005.3613288
1245,8563.7998058,2357.5297858,9033.4208988
1260,8731.8896488,2298.7297368,8871.0312508
1262,8744.5800788,2407.4099128,8982.6210948
1283,7911.5600598,2471.9499518,8966.8515628
1316,8086.1596688,2395.5397958,9003.5712898
1327,8155.8896488,2262.3698738,8970.8916028
1330,8633.8701178,2381.0097668,9060.4414068
1364,8682.7500008,2346.8898938,9028.3115238
1400,8514.7802738,2387.8598638,9119.4912118
1429,8723.9794928,2135.9099128,8892.8417978
1442,8661.0595708,2397.1198738,9034.8613288
