gid,x,y,z
3,7935.8198248,5826.8598638,8160.3613288
11,8767.5800788,3322.6357428,9453.1611338
12,8714.4394538,2487.5898448,9124.7216808
13,8235.8701178,1739.3498548,8104.2915048
17,8045.2998058,5644.1396488,8464.5009778
39,7395.4418958,2093.6098638,6395.7275398
65,7346.7827158,2076.8298348,6342.0795908
74,8824.1201178,3571.2277838,9615.4316418
79,8814.1298838,2911.0678718,9405.1708988
122,8654.5195318,2343.0798348,8943.4013678
130,8012.6997078,5815.9497078,8294.6816418
134,8897.0996098,3674.6179208,9821.0410168
138,8892.8798838,2805.5698248,9500.1416028
142,7574.2900398,1926.9498298,6672.4433598
147,8479.9697278,2026.3898938,8614.8916028
151,8777.7695318,2791.7797858,9342.8808598
154,7852.9697278,1649.9498298,7206.7812508
160,8816.7294928,3299.6047368,9451.2216808
175,8379.7197278,1893.9099128,8439.4912118
213,7765.7597668,1722.6098638,7038.9414068
253,7953.9897468,5862.6596688,8181.7211918
254,7925.7900398,1586.3098148,7363.4912118
269,8871.5195318,3725.3518078,9747.4511728
272,7949.7397468,5942.4399418,8144.3715828
273,8819.5498058,3890.4323738,9700.3613288
275,8851.2294928,3060.5668958,9492.5517588
295,7643.3999028,2017.8999028,6836.4882818
315,8792.2294928,2826.3798838,9350.9013678
317,7846.6396488,1673.0898448,7152.6015628
319,8714.5996098,2473.9199228,9182.4814458
341,8592.2001958,2123.6198738,8833.5312508
388,8892.9697278,3499.8007818,9670.6210948
391,7558.5097668,1895.3098148,6617.7734388
395,8629.1298838,2340.1899418,8953.6513678
424,8231.4697278,1687.8498548,8004.6113288
429,7769.3896488,1749.6499028,7035.4614268
434,8715.4794928,2519.6499028,9231.9316418
451,8838.3896488,3691.0668958,9700.4013678
457,8783.7402348,3211.6347668,9521.9414068
460,7846.1098638,1545.9298108,7306.3911138
471,7574.4897468,1766.1898198,6771.4804698
520,8451.7998058,1988.9198008,8596.4511728
522,8559.3798838,2195.1899418,8826.3808598
528,8110.2500008,5580.8999028,8563.9814458
532,8206.6699228,1702.2098398,8016.3715828
533,8384.4697278,1856.2198498,8345.3808598
548,7989.5200208,1592.4698498,7438.2114268
556,7964.7797858,5971.1699228,8300.3808598
558,7993.9096688,5791.1396488,8299.1015628
563,7988.3198248,5794.6396488,8339.9208988
578,8803.6601568,4060.1638188,9698.9013678
596,8766.2802738,3246.4538578,9491.8115238
599,8816.6103528,2899.9638678,9459.5410168
639,8801.9794928,3311.0507818,9576.7109388
657,8318.2900398,1778.2598888,8220.9511728
666,8783.4199228,3394.3808598,9538.4716808
674,7837.3598638,1603.6599128,7168.3715828
711,8803.8994148,4126.1318368,9593.1611338
733,8880.2402348,3222.1867688,9537.0810558
754,8894.4296888,2893.7939458,9531.5312508
755,8064.3300788,1577.8398448,7594.7412118
762,8896.2099618,3378.3088388,9637.2714848
764,7697.1596688,1602.9798588,7036.6113288
769,8374.2900398,1815.5198978,8343.7109388
773,8815.7197278,2827.2497568,9330.1113288
779,8729.7597668,2450.7497568,9152.6113288
783,8028.1201178,5832.8598638,8260.0312508
798,8766.6494148,3639.1647958,9580.4912118
803,8820.7802738,3542.8898938,9548.0009778
808,8919.4794928,3445.9348148,9727.1914068
819,8923.1601568,3320.2009288,9786.2216808
823,8387.2402348,1895.0598148,8436.5917978
826,8837.1894538,2793.8098148,9393.8417978
833,7687.2700208,1734.1599128,6865.3515628
839,8767.6103528,3016.8579108,9439.8115238
849,8691.8398448,2270.2797858,8998.2617198
875,8782.0703128,3382.3007818,9571.1914068
884,8826.0898448,3470.1289068,9576.6513678
891,8817.6894538,3644.3469248,9525.5615238
900,8852.1103528,3811.0063488,9772.9814458
928,7659.9599618,1906.3198248,6908.4414068
939,8758.5195318,2697.3698738,9354.2216808
956,8802.4296888,3481.7199718,9603.6816418
976,8713.1601568,2476.8498548,9212.7812508
979,8680.6396488,2465.8598638,9090.5517588
980,8778.6298838,4414.4028328,9577.2412118
984,8119.5800788,1659.3098148,7695.9013678
999,7875.4399418,1531.2398688,7231.9311528
1012,8068.0000008,5737.4199228,8456.5917978
1024,8018.4296888,5835.6596688,8433.5917978
1026,8464.3203128,2043.6298838,8628.5312508
1030,8765.7597668,3578.4167488,9560.8212898
1036,7250.9628918,2039.9898688,6163.7695318
1042,8330.8701178,1765.8298348,8249.5117198
1059,8587.1699228,5048.9497078,9459.5214848
1067,8104.1899418,1627.2398688,7848.3115238
1069,7796.5800788,1638.8898938,7113.6015628
1072,7965.1899418,1635.2398688,7385.4614268
1084,8781.8701178,3225.6748058,9524.8613288
1085,7656.6396488,1988.6798108,6838.9155278
1087,7825.6098638,1708.5898448,7144.3911138
1130,8451.8300788,1938.8999028,8448.9609388
1132,8687.3896488,2657.3598638,9239.1914068
1182,8607.5996098,2252.1599128,8874.4208988
1190,8829.1601568,3624.4658208,9714.9609388
1206,8813.5898448,2861.5908208,9411.8212898
1210,8015.0600598,1537.6599128,7467.8911138
1232,8181.6699228,1629.3598638,7839.1713878
1265,8017.6201178,5875.9599618,8247.5009778
1272,8948.4794928,3745.1694348,9798.6210948
1274,8797.8701178,2827.5397958,9365.0009778
1275,8799.5302738,4254.0126958,9635.2910168
1280,8835.0000008,3157.0449228,9432.2812508
1293,8485.2802738,2069.4499518,8644.0117198
1299,8236.9794928,1659.7298588,7946.7011728
1309,8823.2197278,3718.8847668,9706.0312508
1323,8644.9394538,2571.1899418,9144.5214848
1330,8633.8701178,2381.0097668,9060.4414068
1364,8682.7500008,2346.8898938,9028.3115238
1365,7922.6997078,1575.3498548,7308.5312508
1392,8766.1298838,3344.1938488,9526.3212898
1396,7806.5698248,1668.3098148,7077.7714848
1405,8171.6298838,1660.1198738,7801.7211918
1413,7391.4628918,2099.0898448,6396.7045908
1425,8870.9794928,3603.6228038,9709.8613288
1442,8661.0595708,2397.1198738,9034.8613288
1460,8864.6699228,3002.8747568,9464.6416028
1484,8619.8398448,2190.0397958,8898.4609388
1487,8796.5595708,3351.3869638,9595.8916028
1506,8851.4296888,3457.7199718,9720.3017588
1516,8876.6494148,2792.9499518,9521.6113288
1523,8892.0000008,3339.0029308,9648.7314458
1527,8803.5498058,2892.9079598,9389.0214848
1534,8498.9794928,2190.5097668,8752.9208988
1538,8030.3598638,5790.1596688,8403.0917978
1554,8631.6396488,2221.4199228,8919.8417978
1555,8837.7001958,3004.0197758,9516.3310558
1556,8839.1201178,3601.4968268,9672.6113288
1562,8134.9897468,1681.0898448,7795.7514658
1565,7450.6596688,1996.2897958,6598.2724618
1566,8916.7998058,3736.7958988,9802.4208988
1576,7920.5498058,1567.3398448,7314.5712898
1586,7956.6396488,5760.3100598,8293.6416028
1588,8826.3398448,3785.8950208,9671.2314458
1603,8863.6601568,3712.3857428,9661.2509778
1608,8106.8300788,5758.0898448,8442.2509778
1622,8532.8896488,2138.1899418,8791.2216808
1623,8837.2099618,3547.5358898,9531.3515628
1625,8226.2998058,1686.5397958,7996.1914068
1643,7703.0400398,1718.4798588,6926.8115238
1655,8804.9296888,3330.1337898,9578.8417978
1661,8545.2099618,2123.5397958,8648.4609388
1693,7776.3500988,1726.8498548,7045.0014658
1695,8819.0703128,3186.1088878,9448.5214848
1732,8666.1396488,2476.2497568,9172.9912118
1749,8226.1601568,1740.7998058,8055.7011728
1793,8769.8603528,3893.1557628,9632.6308598
1804,8278.4501958,1703.0998548,8154.1113288
1830,8709.5195318,2254.0197758,9022.3710948
1854,7939.2797858,5840.3896488,8176.6713878
1858,8033.3896488,5855.5698248,8400.0312508
1860,8570.8798838,2238.9099128,8861.2812508
1866,8860.8603528,3038.9829108,9462.5615238
1884,7911.9897468,1686.1499028,7452.7514658
1895,8928.6298838,3583.7849128,9699.7910168
1905,8885.2695318,3652.4768078,9728.9609388
1910,8764.8095708,3535.8088388,9538.5712898
1914,8781.1103528,2800.5698248,9345.2216808
1923,7395.6708988,2101.4797368,6445.4975598
1928,8771.0898448,3990.0158698,9582.8710948
1939,8779.6201178,3397.5869148,9545.3417978
1955,8787.8300788,4148.8149418,9561.3417978
1974,8105.9599618,1668.1599128,7862.1113288
1975,8070.5498058,5770.7900398,8453.4414068
1983,7934.5097668,5813.4096688,8219.9814458
1995,8281.4599618,1787.8999028,8273.0009778
1999,7250.7119148,2004.1599128,6148.4301768
2005,7468.5126958,1956.8398448,6610.0703128
