gid,x,y,z
9,8638.3994148,2257.1899418,8776.1416028
18,8824.0097668,2743.1899418,9160.6416028
25,7868.9199228,1722.2298588,7079.3515628
32,8588.9501958,2089.2998058,8514.2109388
45,7952.4296888,5956.1098638,8066.1811528
58,8048.1499028,5792.8798838,8270.3310558
68,8959.2001958,2847.4577648,9557.1113288
73,8271.5703128,1681.9698498,7944.6513678
78,8983.3994148,3718.6298838,9771.0615238
81,8075.7397468,5958.0898448,8190.4614268
92,8155.0200208,1608.4598398,7661.5014658
101,7839.1596688,1920.6198738,6940.1113288
129,8818.1796888,2786.7597668,9307.0410168
149,8998.1494148,3832.3041998,9759.9414068
158,7943.5600598,6050.7197278,8103.0712898
165,8193.5302738,1662.2998058,7801.4814458
228,8740.5097668,2308.0197758,8873.7714848
229,8839.7294928,2646.8898938,9174.4208988
243,8901.0498058,2840.6159678,9401.5410168
251,8711.9599618,2306.8198248,9009.3417978
299,8053.6796888,5915.9697278,8131.1513678
332,8207.6103528,1637.2398688,7786.5913098
353,8531.1201178,1986.0498058,8466.2714848
371,8082.1596688,5997.2900398,8265.3212898
409,8888.2695318,2719.6899418,9292.8017588
410,7873.8398448,1735.0798348,7105.6313488
430,8671.5498058,2180.4699718,8797.8212898
435,7935.7500008,6151.7998058,7919.5214848
437,8106.6298838,5881.0898448,8209.4111338
447,7536.2797858,2068.2597668,6461.5761728
454,8002.8701178,1694.2897958,7268.3413098
456,8881.6699228,2870.1618658,9362.1113288
467,8898.4394538,3734.5888678,9545.3916028
472,7613.8999028,2009.3098148,6685.7373058
488,7930.4697278,6132.1098638,7980.9711918
499,7802.5000008,1734.3598638,7017.4912118
512,8809.3095708,2752.4699718,9250.2617198
526,8045.1000988,5934.0898448,8160.9111338
527,7967.8598638,6080.3198248,8023.7612308
539,8462.2197278,1956.0698248,8443.1708988
542,8951.0097668,2910.5607918,9576.0712898
575,7746.6098638,1847.9798588,6902.2514658
581,7851.7299808,1684.1898198,7129.8515628
590,8964.3603528,2734.9399418,9427.2109388
592,8919.4697278,2960.9929208,9536.0712898
602,8024.8398448,1672.3498548,7321.6015628
604,8815.4394538,2832.2539068,9176.3212898
606,8043.0097668,5917.3999028,8144.1215828
625,8906.6699228,3026.9929208,9396.8115238
629,8733.7597668,2138.4499518,8863.6611338
634,8061.5200208,5966.0996098,8126.5913098
640,8655.6894538,2246.1499028,8779.0810558
656,8769.8095708,2523.0998548,9142.8710948
664,8605.5800788,1892.2897958,8697.9912118
694,8948.6103528,3106.9648448,9636.4609388
728,7770.9697278,1783.3999028,6980.0014658
747,8036.8398448,5933.8696298,8261.2910168
788,8866.6796888,3964.0329598,9590.3115238
822,8715.2001958,2399.8198248,9040.2812508
859,7854.7500008,1686.1898198,7128.8212898
863,8828.1494148,2559.4599618,9086.2314458
879,8810.9902348,2599.5698248,9121.3808598
881,8884.9394538,2566.7597668,9267.8017588
886,8106.6298838,5777.9697278,8243.7011728
887,8775.0898448,2738.2199718,9184.6611338
905,8910.7500008,3649.3669438,9558.5615238
944,8436.8701178,1903.6798108,8346.7617198
947,8855.1201178,2720.9299328,9317.0517588
965,7968.6298838,6062.7998058,8042.3515628
968,8779.3896488,2660.0397958,9194.3212898
969,8823.6601568,2812.5898448,9227.0410168
974,7631.0200208,2043.4698498,6622.4614268
981,8855.1396488,2455.0998548,9184.3808598
985,8504.6201178,1943.6698008,8369.0214848
997,8726.1396488,2385.3898938,9037.5117198
998,8614.5400398,2101.0097668,8591.1308598
1000,7352.6269538,2144.9797368,6169.8393558
1027,8380.3095708,1818.9598398,8187.6713878
1077,8000.7900398,6004.0000008,8060.7114268
1081,7835.4096688,1765.8098148,7067.9111338
1090,8738.4501958,2189.7597668,8885.3310558
1114,8592.9599618,2115.2099618,8524.7314458
1117,7824.7197278,1828.6298838,7032.1411138
1126,8677.2998058,2260.2998058,8929.9414068
1146,7602.3100598,2024.1098638,6620.8505868
1207,7597.0600598,1976.8098148,6636.6425788
1217,7515.3198248,2079.6799328,6430.1381848
1226,7671.2597668,1968.4998788,6631.2744148
1237,8532.7500008,1944.8898938,8401.6113288
1247,8137.5400398,1738.1898198,7548.9711918
1258,8577.3798838,2174.2897958,8567.4716808
1260,8731.8896488,2298.7297368,8871.0312508
1262,8744.5800788,2407.4099128,8982.6210948
1266,8898.2597668,3242.0358898,9439.7412118
1273,8437.4501958,1881.6499028,8214.5917978
1297,8984.0800788,3704.7678228,9765.7412118
1326,8227.2099618,1702.1298838,7843.4711918
1338,8353.2998058,1706.7198498,8155.1313488
1342,8929.6298838,3135.4118658,9576.3115238
1370,8861.3496098,2708.9897468,9267.0009778
1409,8470.5800788,1910.8098148,8332.4208988
1418,7923.6396488,1660.2098398,7206.0312508
1419,8730.6494148,2028.9798588,8813.3212898
1421,8010.5000008,5898.7597668,8123.8813488
1429,8723.9794928,2135.9099128,8892.8417978
1472,8878.7900398,3098.1069348,9493.6210948
1473,7871.2099618,1633.5998548,7177.4711918
1485,8056.5200208,5883.5698248,8305.1113288
1540,7967.1596688,6047.5400398,8094.1914068
1561,8079.9697278,1678.8999028,7548.1313488
1563,7992.1298838,5857.0498058,8172.2714848
1577,7567.8500988,2084.1699228,6436.8803718
1581,8906.8798838,3529.5368658,9606.2412118
1583,7663.4897468,1896.0998548,6733.1821298
1591,8832.5898448,2829.6857918,9337.9511728
1604,8952.6103528,2970.0527348,9522.3310558
1606,8936.0400398,3341.1027838,9555.7714848
1619,8907.5302738,3631.3908698,9531.9414068
1621,7870.3500988,1657.4998788,7175.4414068
1663,8274.3798838,1727.2098398,7987.8515628
1666,8954.6298838,2621.9099128,9369.9111338
1714,8824.4394538,2977.0517588,9359.5615238
1721,8899.4199228,3395.5339368,9571.8808598
1733,7766.2900398,1902.3598638,6956.6113288
1737,7576.2099618,2012.6599128,6540.4853528
1738,8534.6396488,1987.5098888,8398.0810558
1772,8795.2001958,2506.0498058,9164.5009778
1777,8936.0000008,2627.6198738,9308.2216808
1799,8005.6298838,1720.6298838,7298.1215828
1806,8901.2500008,3252.5908208,9502.8310558
1809,8848.5400398,2851.4558118,9369.7714848
