gid,x,y,z
33,7650.9897468,2242.5998548,8636.3515628
40,7613.2797858,2202.4699718,8663.6416028
89,7633.4897468,2067.3898938,8499.3310558
115,8130.5600598,1958.2698978,8583.4414068
128,7646.1499028,2109.2797858,8472.7714848
135,7623.5400398,2061.3798838,8539.4316418
163,7952.1899418,2037.8398448,8675.2714848
175,8379.7197278,1893.9099128,8439.4912118
196,8274.9697278,1947.4998788,8633.7216808
210,8267.0195318,2016.7897958,8602.1914068
227,8139.7797858,1983.0898448,8587.3417978
244,8117.4399418,2075.9199228,8597.6416028
248,8160.1997078,2027.4998788,8683.2011728
255,7726.3100598,1985.5798348,8540.1914068
268,8175.7597668,1880.8698738,8510.9013678
279,8002.1899418,2043.3698738,8664.5615238
287,7607.0898448,2141.1699228,8563.3115238
292,7467.5747078,2104.5397958,8496.7011728
296,7503.7900398,2125.6198738,8466.0712898
298,7681.7900398,2138.3598638,8624.6015628
302,7658.5297858,2215.6599128,8577.2812508
353,8531.1201178,1986.0498058,8466.2714848
358,8620.0000008,2028.6998298,8496.9511728
360,7738.5297858,1967.7598888,8504.7812508
372,8150.1796888,1988.2998058,8667.2109388
379,8175.2299808,2027.3498548,8622.4414068
418,7844.8198248,1988.8598638,8576.1416028
428,7978.9897468,2029.7799078,8689.0917978
464,8177.7597668,1985.4698498,8612.3808598
475,7758.3598638,2015.5397958,8560.0214848
506,8036.3500988,1940.8198248,8521.5615238
520,8451.7998058,1988.9198008,8596.4511728
539,8462.2197278,1956.0698248,8443.1708988
583,7694.1997078,2015.6298838,8486.7314458
626,8129.2099618,1975.7897958,8575.5517588
664,8605.5800788,1892.2897958,8697.9912118
687,8140.7500008,1959.0397958,8685.3916028
699,8275.2099618,1902.4998788,8506.4208988
716,8265.6201178,1952.1798108,8580.8710948
765,7940.0898448,1935.3498548,8539.8115238
806,8164.8701178,1999.9898688,8475.9111338
823,8387.2402348,1895.0598148,8436.5917978
834,8673.1601568,2023.5898448,8349.5712898
861,7738.0200208,2127.1499028,8691.8115238
897,8033.3198248,1881.8898938,8520.5917978
909,7825.1298838,1939.5299078,8589.9511728
932,8248.5595708,1873.5698248,8408.2714848
944,8436.8701178,1903.6798108,8346.7617198
985,8504.6201178,1943.6698008,8369.0214848
1028,8195.6894538,1898.9798588,8530.4716808
1052,7644.9599618,2133.7497568,8494.1708988
1086,8665.2001958,1987.2998058,8413.3613288
1106,7647.8896488,2212.1999518,8564.2617198
1130,8451.8300788,1938.8999028,8448.9609388
1159,7783.2099618,2124.3999028,8661.8916028
1165,8358.4697278,1961.9898688,8664.4511728
1198,8124.3598638,1953.2799078,8598.1416028
1216,7767.1699228,1975.0098888,8473.5810558
1237,8532.7500008,1944.8898938,8401.6113288
1282,7635.8300788,2036.6898198,8488.4609388
1296,7708.6499028,2166.3198248,8642.2011728
1320,7924.8100598,1948.2598888,8535.3417978
1378,7658.1699228,2128.5097668,8444.2617198
1380,8569.0302738,2138.1298838,8396.4013678
1409,8470.5800788,1910.8098148,8332.4208988
1434,8353.2998058,1883.4598398,8522.6708988
1445,8193.0195318,1866.4998788,8441.5410168
1450,8249.0195318,1943.1998298,8503.7714848
1511,8679.6298838,2009.5498058,8311.0712898
1530,8156.7797858,1862.5098888,8451.4912118
1546,7592.5200208,2229.1699228,8662.5917978
1612,8574.3798838,2078.5498058,8445.6015628
1629,7820.1000988,1969.9998788,8548.7617198
1639,7581.1699228,2209.6599128,8534.8017588
1649,7509.2490238,2171.1499028,8497.3613288
1658,8225.0097668,1931.8298348,8531.4511728
1712,8003.4399418,2110.3198248,8677.3310558
1738,8534.6396488,1987.5098888,8398.0810558
1758,8672.2900398,1961.9898688,8343.1308598
1778,7471.8247078,2141.0898448,8524.1513678
1805,7573.4296888,2204.8598638,8537.1611338
1843,8311.8398448,1881.0998548,8606.1210948
1845,7622.4399418,2066.0297858,8540.3515628
1874,7748.0498058,2161.2497568,8710.5410168
1913,7708.5898448,2203.3598638,8658.5517588
1917,8259.0498058,1925.6599128,8362.1513678
1926,7779.8896488,2114.6799328,8660.2011728
1935,8297.4902348,1965.9798588,8619.7216808
1948,7472.9970708,2130.5397958,8509.4208988
1957,7600.3598638,2124.9699718,8550.7011728
1985,8120.1499028,1960.0798348,8590.7412118
1987,8054.3500988,1995.9298108,8581.7011728
1996,7839.0600598,2061.0998548,8660.0009778
2001,8588.6494148,1893.2698978,8690.1914068
2002,8067.6298838,2022.5698248,8603.2109388
2018,8453.6494148,1927.9398198,8470.5810558
2121,7852.7299808,1966.0998548,8529.2109388
2127,7701.3999028,2120.4399418,8608.2011728
2133,8280.4794928,1930.2198498,8579.9814458
2144,7968.7998058,2083.8598638,8682.8808598
2158,8407.8300788,1874.1198738,8427.4111338
2178,7612.2099618,2223.1098638,8654.8515628
2185,8058.1499028,1874.3298348,8461.9814458
2201,7983.0600598,2078.3898938,8697.5410168
2208,8218.5097668,1932.6098638,8514.1914068
2251,8416.8398448,1944.7698978,8354.2812508
2253,7710.8398448,2163.8598638,8632.1708988
2256,8293.7802738,1961.8598638,8647.6611338
2263,8448.3203128,1945.6798108,8463.9912118
2268,7668.1596688,2015.9898688,8517.9414068
2285,7697.1298838,2025.4998788,8486.4716808
2372,8264.9902348,1895.0998548,8505.9316418
2381,8128.1596688,1978.0397958,8664.0615238
2400,7707.3500988,2035.9498298,8523.9912118
2486,7894.9599618,2030.6398938,8445.4814458
2515,7720.1796888,2137.0397958,8688.9111338
2531,8222.4394538,1917.2698978,8503.1416028
2543,8487.9501958,2009.3098148,8437.0917978
2561,7565.7299808,2193.5898448,8490.6015628
2573,8381.7998058,1875.2598888,8343.3417978
2575,7703.4096688,2188.8498548,8667.4414068
2585,8014.3300788,2077.0297858,8686.0615238
2594,8524.1796888,2004.5898448,8582.8808598
2607,8168.1596688,1973.5798348,8551.1816418
2626,7779.0297858,1977.7198498,8497.2910168
2674,8472.9599618,1853.0998548,8341.4912118
2681,7994.8701178,2047.8498548,8675.4814458
2769,7823.9599618,2109.5598148,8712.4511728
2774,8161.5898448,1993.6198738,8581.5917978
