gid,x,y,z
20,7851.6201178,2290.5898448,8844.8808598
32,8588.9501958,2089.2998058,8514.2109388
111,8165.5498058,2132.4399418,8789.0810558
116,7829.5200208,2208.5397958,8815.3017588
124,8435.7695318,2024.4698498,8664.0917978
147,8479.9697278,2026.3898938,8614.8916028
171,8461.5800788,2171.1298838,8798.6210948
215,8386.8300788,2039.2498788,8648.3613288
242,7845.4599618,2346.9699718,8884.1015628
322,8288.9199228,2174.0898448,8908.8613288
341,8592.2001958,2123.6198738,8833.5312508
349,8748.3496098,2144.4797368,8604.2812508
368,8222.2900398,2206.8398448,8894.5410168
389,8199.4599618,2179.7998058,8901.0810558
411,8164.0297858,2218.5498058,8854.4814458
430,8671.5498058,2180.4699718,8797.8212898
443,8097.6596688,2290.5698248,8856.4716808
462,8464.7597668,2181.1699228,8862.4609388
487,8396.0595708,2185.0097668,8920.9414068
498,7876.7700208,2165.8298348,8793.2314458
511,8579.1699228,2139.8698738,8430.5517588
522,8559.3798838,2195.1899418,8826.3808598
523,8115.4296888,2082.0898448,8690.9013678
540,8726.0097668,2121.4797368,8718.6513678
562,8038.6899418,2323.3098148,8883.5009778
615,7984.7197278,2215.6499028,8879.5312508
623,7923.8300788,2144.1799328,8768.3212898
643,8412.9794928,2172.1398938,8873.6416028
714,7776.2700208,2215.7497568,8749.8916028
727,8470.5703128,2156.6599128,8780.9316418
742,8199.7597668,2059.5698248,8832.4912118
802,8282.5703128,2099.5297858,8790.5410168
807,8740.2402348,2180.0498058,8657.4609388
812,7920.6796888,2162.7199718,8812.8115238
830,8419.1894538,2182.2099618,8850.5810558
885,8039.7998058,2262.4997568,8895.7617198
930,8156.7998058,2204.6699228,8976.0117198
942,8041.9697278,2221.1198738,8803.3212898
972,8751.3496098,2234.4299328,8728.9716808
998,8614.5400398,2101.0097668,8591.1308598
1026,8464.3203128,2043.6298838,8628.5312508
1034,7639.1298838,2266.1999518,8656.8613288
1039,7930.1499028,2180.1298838,8825.0312508
1044,7885.1000988,2208.2998058,8824.4814458
1068,8048.1298838,2268.0798348,8912.2109388
1113,7779.6796888,2223.9897468,8758.8310558
1114,8592.9599618,2115.2099618,8524.7314458
1122,8442.9296888,2103.2297368,8799.6816418
1166,8457.5595708,2143.4399418,8879.6513678
1175,7694.9799808,2282.4399418,8786.9814458
1181,8227.6601568,2207.0598148,8852.8417978
1185,8351.9101568,2154.5397958,8861.4814458
1235,7642.4599618,2261.5297858,8682.8310558
1248,7807.8701178,2267.0698248,8788.6708988
1258,8577.3798838,2174.2897958,8567.4716808
1288,7761.8896488,2156.9199228,8731.8613288
1293,8485.2802738,2069.4499518,8644.0117198
1419,8730.6494148,2028.9798588,8813.3212898
1422,8276.9394538,2088.4997568,8780.8417978
1477,7866.5400398,2233.3598638,8847.7812508
1534,8498.9794928,2190.5097668,8752.9208988
1557,7642.4399418,2267.1298838,8680.8310558
1567,7948.9697278,2174.4797368,8782.1015628
1622,8532.8896488,2138.1899418,8791.2216808
1661,8545.2099618,2123.5397958,8648.4609388
1683,8180.9296888,2262.7697758,8861.4316418
1719,8134.7099618,2082.7099618,8691.2011728
1722,8204.3496098,2161.0798348,8948.7509778
1729,8005.8701178,2202.2397468,8787.5615238
1759,8770.2695318,2212.9199228,8732.7412118
1768,8226.4199228,2204.7998058,8900.4814458
1774,8717.5195318,2200.5498058,8694.5712898
1813,8484.5302738,2093.5698248,8787.9316418
1838,7884.8198248,2155.5898448,8770.5117198
1897,8671.1201178,1989.3198248,8747.9316418
1930,8047.6000988,2168.3999028,8798.7109388
1932,8444.4101568,2136.7099618,8699.0117198
1978,8184.3100598,2239.0798348,8858.4511728
1997,7928.6499028,2164.9099128,8858.2714848
1998,7977.1699228,2149.2897958,8766.2216808
2031,8620.8701178,2018.2098398,8759.8212898
2069,8356.6298838,2079.8698738,8841.9316418
2091,8297.9501958,2011.2498788,8732.3710948
2104,7659.4697278,2281.9897468,8738.8808598
2120,8253.1796888,2182.4499518,8800.6513678
2123,8397.6201178,2096.0898448,8785.0517588
2130,7814.6298838,2207.5197758,8806.5117198
2131,8185.9897468,2073.5498058,8665.4316418
2139,8616.3300788,2095.4299328,8582.7509778
2140,8192.6201178,2216.6599128,8868.0917978
2202,8062.6796888,2182.8698738,8822.4912118
2206,8127.7500008,2080.1999518,8680.0410168
2219,8681.4794928,2076.0798348,8607.9208988
2220,8725.6796888,2082.0998548,8681.8212898
2239,7830.9697278,2231.4399418,8861.9208988
2255,8329.9394538,2189.5998548,8909.8515628
2266,7793.9096688,2285.7297368,8865.6611338
2267,8168.4897468,2076.5898448,8673.8310558
2281,8185.9799808,2235.7397468,8865.2910168
2348,8439.0400398,2073.8198248,8703.1308598
2357,8488.1699228,2084.5598148,8602.5917978
2366,8540.2500008,2121.5898448,8638.8515628
2388,7976.3398448,2211.4897468,8882.2109388
2396,8607.5595708,2172.5998548,8697.6015628
2427,7974.0097668,2206.4399418,8898.3212898
2436,8716.5195318,2132.3098148,8821.0712898
2444,8653.8994148,2223.2797858,8752.6513678
2447,7877.7500008,2250.3298348,8827.0712898
2451,8409.0595708,2100.4499518,8727.0615238
2470,7859.8398448,2161.5498058,8728.1513678
2482,8052.7099618,2276.7199718,8875.1015628
2507,8238.0000008,2039.8298348,8683.6914068
2509,8670.8095708,2227.7897958,8709.4414068
2547,8029.9497078,2246.7697758,8890.7216808
2549,8453.0498058,2078.3098148,8665.8515628
2558,8041.1796888,2260.8598638,8877.7314458
2616,8392.6298838,2205.2199718,8901.0312508
2683,8007.3100598,2199.7199718,8806.8212898
2722,7992.6098638,2217.2497568,8836.6308598
2728,8452.2001958,2055.3098148,8725.4013678
2761,8044.2900398,2266.6298838,8923.9716808
2767,8688.0400398,2080.0998548,8912.4208988
2772,8458.9794928,2131.1198738,8789.0810558
2775,8598.4101568,2073.4099128,8696.9111338
2780,7599.0200208,2299.0397958,8674.2714848
2782,8204.3798838,2038.9398198,8698.6015628
2810,7992.7700208,2236.6599128,8925.6708988
2822,7961.4199228,2284.3398448,8893.2617198
2829,8613.8095708,2072.5297858,8513.4111338
2843,8459.6699228,2097.1499028,8699.2509778
2855,8764.6796888,2230.7397468,8649.3613288
2860,8465.1601568,2162.1398938,8770.2011728
2890,8094.8798838,2137.4299328,8733.4316418
2910,8046.4399418,2189.2199718,8819.9912118
