gid,x,y,z
2,8176.5600598,3510.3659678,9620.2109388
20,7851.6201178,2290.5898448,8844.8808598
24,8220.7900398,4068.8708508,9754.6416028
53,7982.9799808,4555.2016608,9466.3613288
80,7974.9497078,4718.5668958,9531.6210948
83,8136.1699228,3587.7678228,9658.0009778
91,8180.8398448,3628.7658698,9644.4111338
94,8240.4199228,3482.7739268,9703.7714848
96,8160.4599618,3060.3188488,9468.1914068
106,7953.2597668,4473.7089848,9393.6416028
117,8001.5097668,4436.5268558,9465.0312508
119,8138.4497078,4187.6059578,9714.9912118
120,7939.1699228,4618.5439458,9444.5517588
183,8048.7197278,2824.6999518,9254.6513678
184,7610.9697278,1859.1298838,8279.9814458
192,8013.9199228,4694.8247078,9408.1708988
205,8117.6000988,3188.8908698,9518.4111338
207,8194.3203128,4362.9897468,9861.9716808
212,7700.9199228,1773.3598638,8234.0009778
223,7959.1796888,4703.5869148,9370.2216808
252,6898.7661138,1722.6998298,6764.9252938
255,7726.3100598,1985.5798348,8540.1914068
262,8173.2900398,3976.7397468,9762.3515628
274,8214.8896488,3787.4055188,9818.6113288
277,8194.6298838,4132.4990238,9811.6914068
281,8228.9794928,4178.3530278,9842.2011728
288,7071.5288098,1580.4498298,6969.8515628
294,7412.1958018,1839.2198498,7745.5112308
306,8173.1201178,3998.2968758,9749.0712898
309,8163.6201178,4518.8027348,9775.4716808
318,8231.9697278,3693.4118658,9713.9912118
325,8094.2700208,4253.2807628,9581.2314458
329,8165.7797858,3503.6777348,9625.2011728
336,8080.2998058,2849.3017588,9310.7412118
360,7738.5297858,1967.7598888,8504.7812508
369,8119.0600598,3620.1437998,9633.1816418
370,8218.3203128,3756.2973638,9670.3417978
383,8098.7797858,4302.6450208,9606.1816418
397,8042.7797858,4196.6567388,9532.2714848
406,8170.5000008,3434.6027838,9579.1308598
418,7844.8198248,1988.8598638,8576.1416028
420,8175.7099618,4023.4519048,9760.6914068
432,8119.4697278,4343.0297858,9623.7216808
440,8217.2900398,3151.2287608,9573.9716808
441,8173.8896488,4672.5200208,9762.0117198
445,7924.0000008,4746.2387708,9288.2509778
466,7662.8500988,2026.8498548,8303.1113288
475,7758.3598638,2015.5397958,8560.0214848
476,8267.0097668,4089.1218268,9806.3710948
477,7094.2968758,1592.3999028,7038.6914068
478,8048.4799808,2453.9599618,9091.0312508
479,8076.5898448,4764.7490238,9673.9111338
486,8212.0898448,4270.4360358,9797.4716808
498,7876.7700208,2165.8298348,8793.2314458
504,8166.4697278,3503.1699228,9635.6210948
529,8207.1601568,4501.0336918,9759.9716808
550,8131.3999028,3398.4157718,9554.6513678
552,8038.5400398,4440.9716808,9455.5917978
564,8152.8701178,3440.4929208,9619.5410168
572,8120.2197278,4074.8378918,9705.7509778
580,8231.5595708,3529.7138678,9674.9716808
585,8135.8798838,3740.5190438,9694.6210948
588,7499.6157238,1674.2098398,7833.8212898
591,8188.4199228,3171.9418958,9539.3710948
597,7959.1000988,4389.5117198,9404.8515628
617,8140.2998058,4252.2568368,9607.1611338
619,7262.7109388,1606.1198738,7517.4614268
621,8234.0195318,4138.3427738,9809.1816418
623,7923.8300788,2144.1799328,8768.3212898
635,8102.7299808,2923.0249028,9376.1113288
655,8090.0698248,2899.1757818,9314.0517588
676,8038.1098638,4323.5927738,9574.3417978
678,8263.2802738,3713.9299328,9746.9013678
686,7961.1396488,2498.6098638,9005.0517588
698,7900.3398448,4665.9628918,9325.6416028
700,6917.6411138,1637.5198978,6751.2993168
703,8150.8398448,3497.9567878,9623.4414068
704,8211.1894538,3798.5566418,9754.4111338
708,8043.6201178,2464.5798348,9096.5917978
750,7950.3500988,2347.3398448,8913.0615238
760,8118.6298838,4254.0859388,9652.3710948
776,7926.8300788,4707.1030278,9261.5917978
780,8260.7402348,4303.7690438,9833.7216808
801,7011.1918958,1625.4099128,6932.6513678
812,7920.6796888,2162.7199718,8812.8115238
818,8068.5498058,4249.4028328,9633.2910168
821,8088.2998058,4225.6059578,9684.7714848
828,8232.9794928,3119.6877448,9577.4814458
835,8168.6000988,3140.8488778,9549.9208988
869,8181.3500988,3411.4499518,9635.8417978
870,8160.9697278,3947.5708018,9779.4414068
874,8034.7099618,4572.2866218,9565.5917978
890,7200.6201178,1581.1499028,7371.1513678
896,8195.1103528,4289.2070318,9728.5410168
901,7904.1201178,4513.7016608,9316.6113288
903,7925.9296888,2373.9997568,9001.2216808
909,7825.1298838,1939.5299078,8589.9511728
913,7973.8198248,4952.2900398,9418.6210948
929,8085.8999028,4321.6850598,9689.2812508
940,7936.3198248,4569.9379888,9375.1816418
949,7949.4799808,4598.8217778,9369.7812508
952,8193.0996098,3633.3217778,9682.3417978
953,7892.5898448,4830.7099618,9208.0917978
960,8054.5097668,4114.2119148,9584.6416028
963,8037.4399418,4428.9028328,9544.1113288
970,8023.8598638,4412.1347668,9552.7812508
988,8193.7099618,3810.5561528,9719.2910168
1009,7511.0009778,1752.9498298,7955.4013678
1010,7980.2998058,4698.8540048,9519.4716808
1037,7906.6098638,4472.1928718,9265.1914068
1039,7930.1499028,2180.1298838,8825.0312508
1041,8236.7402348,3941.0678718,9709.9511728
1044,7885.1000988,2208.2998058,8824.4814458
1047,8255.7597668,3948.7917488,9831.0009778
1065,8125.4497078,3981.6337898,9652.4414068
1073,7572.3798838,1831.8798838,8027.4111338
1075,8004.5800788,4849.1997078,9455.9414068
1107,8321.3203128,3748.3564458,9867.4111338
1124,8219.2402348,3739.1831058,9693.7617198
1136,8183.6298838,4230.9306648,9805.6416028
1138,7940.9296888,4461.4257818,9386.1416028
1139,8223.7802738,3693.1738288,9713.8115238
1150,8182.4199228,3743.8227548,9692.0517588
1153,8163.7797858,4587.2329108,9685.1308598
1159,7783.2099618,2124.3999028,8661.8916028
1167,8123.6201178,2774.5698248,9367.7812508
1176,8103.8798838,4534.0507818,9606.6708988
1178,7990.5698248,4439.3139658,9468.0312508
1189,8124.1499028,3925.6955578,9699.0312508
1208,8113.1796888,3405.6159678,9579.8613288
1209,8079.5698248,4437.8696298,9679.6015628
1216,7767.1699228,1975.0098888,8473.5810558
1233,8218.5703128,3567.3217778,9638.3916028
1259,8029.8798838,4525.5659188,9538.6015628
1270,8183.1596688,3696.4868168,9652.3115238
1283,7911.5600598,2471.9499518,8966.8515628
1285,7594.2900398,1840.7598888,8239.0917978
1287,8037.5898448,4811.4179698,9487.0810558
1294,7993.9096688,4866.8696298,9432.3710948
1311,8187.2597668,3673.9919438,9726.2011728
1314,8167.2797858,4064.6889658,9790.2011728
1328,8275.9199228,3937.0749518,9864.2714848
1329,8249.1796888,3970.2619638,9789.3710948
1331,8099.7900398,4148.5737308,9645.7109388
1339,8135.8500988,4133.5419928,9619.1416028
1348,8181.8999028,3502.1247568,9721.3212898
1354,7948.5097668,4477.1357428,9440.5117198
1362,8220.8994148,3184.6137708,9611.7109388
1377,7978.5400398,4808.6796888,9391.7617198
1387,6990.7358408,1616.0299078,6926.7011728
1394,8143.6699228,3372.2377938,9602.0410168
1407,8155.1699228,3124.2368168,9473.6611338
1417,8167.0698248,4207.7700208,9783.0517588
1435,8213.5400398,3739.0988778,9693.0917978
1438,8238.4902348,3571.9467778,9675.7910168
1440,8288.5996098,3695.1647958,9799.5712898
1441,8126.6796888,3155.5268558,9542.5615238
1449,8040.5400398,2747.5197758,9272.7509778
1462,8141.1796888,3728.8498548,9673.3310558
1471,8192.4599618,4346.5776378,9784.0410168
1477,7866.5400398,2233.3598638,8847.7812508
1497,8165.7099618,4315.3549808,9684.4912118
1519,8203.2402348,3502.9118658,9627.4013678
1545,8313.2998058,3982.3769538,9880.0517588
1548,8037.0400398,2689.4399418,9269.9814458
1569,7628.8598638,1775.3198248,8121.8115238
1575,8202.2500008,4076.4377448,9796.8710948
1590,7901.1000988,4736.0449228,9355.7314458
1594,8177.7597668,3196.2597668,9554.1210948
1628,7537.5600598,1777.2998058,8102.3115238
1629,7820.1000988,1969.9998788,8548.7617198
1630,7002.1459968,1615.8798838,6947.9414068
1635,7917.0800788,4739.2128918,9203.9511728
1640,8011.8896488,4254.6938488,9528.9111338
1642,7553.7900398,1765.7398688,8091.8515628
1647,7455.7006848,1673.9898688,7766.0312508
1652,8072.5200208,2528.6499028,9170.4814458
1653,6734.9960948,1983.8498548,6337.9711918
1656,8096.8300788,2907.8227548,9348.4814458
1657,8170.3999028,4071.3359388,9705.2509778
1664,8029.8198248,2806.8298348,9292.2910168
1698,8258.4599618,3825.8547368,9769.1513678
1709,8046.7197278,2723.9199228,9207.0917978
1718,8190.9599618,3996.1567388,9826.7011728
1726,6825.0820318,1844.7098398,6556.0844738
1746,8009.2597668,4817.5839848,9414.0117198
1767,8199.6494148,4467.5727548,9736.3515628
1776,7733.2099618,1831.2598888,8319.9814458
1786,8189.0000008,3096.6589368,9487.5712898
1803,8137.6997078,4288.4780278,9590.6611338
1815,8010.4497078,2451.8498548,9094.5810558
1819,7900.1699228,4733.5830088,9352.9912118
1823,7683.9096688,1842.3898938,8362.9414068
1824,8136.1997078,2997.9858408,9485.4609388
1825,7185.7807628,1613.0698248,7277.7412118
1838,7884.8198248,2155.5898448,8770.5117198
1840,8045.9497078,4371.2817388,9557.7910168
1846,8014.8100598,4562.0839848,9461.4111338
1847,8181.2299808,3250.1479498,9545.5517588
1849,7610.4199228,1753.6698008,8066.7714848
1875,8101.0400398,2914.6777348,9389.1308598
1876,7029.6069348,1622.5198978,6867.3911138
1885,8022.1098638,2481.6899418,9079.1015628
1890,7564.7998058,1839.4398198,8119.0512708
1926,7779.8896488,2114.6799328,8660.2011728
1951,6667.5698248,2047.4398198,6320.7885748
1958,8217.6298838,3198.3388678,9612.8515628
1959,8065.4096688,2679.5698248,9287.0214848
1964,8153.4697278,3670.3898938,9637.3710948
1966,8184.6997078,3563.8098148,9663.3017588
1967,8114.1201178,4197.2138678,9695.4511728
1970,7430.0610358,1648.6599128,7658.8715828
1973,8075.3198248,4690.5117198,9545.3212898
1980,8114.1699228,2912.5927738,9322.2509778
1990,8154.6000988,4574.1420908,9700.2314458
1996,7839.0600598,2061.0998548,8660.0009778
1997,7928.6499028,2164.9099128,8858.2714848
2003,8257.0302738,3641.5808118,9747.2109388
2007,8205.1796888,3475.3117688,9653.0917978
2010,7109.7207038,1568.5598148,7117.0815438
2022,7972.2700208,2459.0798348,9118.3515628
