gid,x,y,z
15,8327.6201178,4934.0297858,9593.5117198
19,8517.8095708,4925.8198248,9489.8613288
31,8511.7001958,4914.9599618,9695.6914068
37,8440.9296888,5047.7500008,9447.3808598
47,8242.0800788,4830.5000008,9683.2910168
66,8406.7099618,5207.3496098,9386.1611338
69,8278.3603528,5381.7597668,9121.2812508
70,8355.3300788,4982.6396488,9648.7617198
77,8516.3496098,4909.6997078,9641.4716808
86,8204.9599618,5046.3896488,9493.7011728
90,8217.4501958,5068.8300788,9486.1708988
98,8358.7197278,5102.6499028,9380.9912118
162,8536.8203128,4864.7397468,9510.0312508
211,8530.1699228,4870.2797858,9745.7412118
226,8224.7500008,4966.7299808,9501.1308598
235,8325.7001958,4876.4799808,9678.6308598
247,8376.8398448,5216.8896488,9412.3017588
263,8405.4101568,4805.4838878,9678.2617198
282,8209.8300788,5130.2299808,9321.5712898
311,8437.9501958,4801.7646488,9664.6416028
314,8453.5498058,4776.1020518,9766.6914068
334,8481.6396488,4749.3779308,9694.1611338
363,8524.8994148,4829.8598638,9713.2216808
373,8616.9501958,4673.1386728,9891.3417978
374,8430.3203128,4937.1196298,9523.8916028
380,8616.7294928,4684.1049808,9709.5917978
404,8079.6000988,5522.8100598,8894.0214848
427,8331.4394538,5225.9497078,9451.8115238
452,8224.2597668,5214.6196298,9247.6210948
553,8298.5400398,5259.6298838,9413.3310558
560,8063.3896488,5356.4697278,9104.2714848
653,8531.6796888,4887.6499028,9496.7216808
671,8343.0898448,4981.7397468,9497.9912118
680,8320.9794928,5112.9296888,9442.3710948
681,8411.0400398,5042.6796888,9613.7812508
695,8296.5000008,5156.8496098,9498.5517588
744,8509.9501958,4988.6196298,9559.8808598
766,8448.8798838,5123.5800788,9339.0615238
793,8367.7500008,4747.5908208,9786.7714848
800,8324.4394538,5171.0000008,9574.8710948
805,8278.1298838,4931.1396488,9666.4716808
841,8434.6103528,4861.7797858,9710.9511728
895,8350.0898448,5180.3696298,9538.8613288
911,8351.1298838,4937.0297858,9564.4316418
922,8408.2402348,5177.8598638,9482.9912118
927,8373.8603528,5334.6098638,9236.7509778
961,8448.4501958,4762.3710948,9814.7617198
977,8480.0498058,5003.3100598,9472.1611338
1021,8395.1201178,5172.6796888,9608.9912118
1029,8298.3994148,5153.9897468,9561.1708988
1045,8234.0498058,5106.8598638,9356.0615238
1050,8205.0996098,5136.3496098,9301.8310558
1057,8284.5703128,5087.6596688,9560.8515628
1059,8587.1699228,5048.9497078,9459.5214848
1099,8331.3994148,5200.5600598,9421.3710948
1119,8681.0097668,4689.0507818,9799.4111338
1131,8196.4101568,5269.2797858,9229.5410168
1242,8298.5898448,4894.5800788,9717.2509778
1305,8416.1103528,4748.7919928,9704.6113288
1308,8494.5996098,5070.3798838,9384.8115238
1315,8307.0195318,5109.8100598,9437.3515628
1367,8148.9599618,5243.0498058,9194.7812508
1401,8354.2001958,4860.8100598,9759.5517588
1423,8402.7695318,5257.7597668,9364.3808598
1454,8467.5000008,5039.1796888,9591.8017588
1479,8429.5595708,4805.5527348,9703.7509778
1492,8262.6298838,4904.4799808,9572.1914068
1564,8072.4697278,5696.0698248,8766.9208988
1587,8370.2001958,5214.7700208,9362.5312508
1624,8386.9199228,4836.2900398,9715.2109388
1632,8536.1796888,4697.2216808,9797.7812508
1638,8444.0000008,4769.2329108,9725.9013678
1648,8317.7695318,4880.0200208,9643.4814458
1659,8493.6396488,4824.7680668,9727.3115238
1684,8225.9101568,4910.0996098,9597.6914068
1730,8579.7001958,4927.3896488,9476.7216808
1744,8346.9697278,5057.4096688,9468.6210948
1756,8220.8798838,5167.6098638,9273.9316418
1769,8389.5498058,5261.2500008,9361.5312508
1770,8377.0302738,5202.7299808,9522.0810558
1794,8358.2597668,5068.3598638,9403.3417978
1797,8424.3896488,4905.7099618,9559.6816418
1836,8492.1103528,4744.1689458,9809.3417978
1839,8274.0000008,5356.6396488,9322.5117198
1908,8262.1298838,4966.2797858,9572.3710948
1918,7974.6699228,5716.6796888,8709.8310558
