gid,x,y,z
41,8526.2597668,3021.5178228,9611.1914068
44,7905.4599618,3488.5698248,9429.6708988
51,7993.5297858,3292.6909188,9524.7216808
68,8959.2001958,2847.4577648,9557.1113288
75,8520.1494148,2988.2578128,9603.4208988
79,8814.1298838,2911.0678718,9405.1708988
96,8160.4599618,3060.3188488,9468.1914068
138,8892.8798838,2805.5698248,9500.1416028
150,8328.1201178,3141.9968268,9621.7509778
153,8253.3300788,3191.0627448,9510.5917978
205,8117.6000988,3188.8908698,9518.4111338
233,8324.3095708,2976.5207528,9530.0214848
243,8901.0498058,2840.6159678,9401.5410168
259,8917.9697278,2920.3139658,9322.4316418
264,8612.7998058,2847.9348148,9498.0517588
271,7970.1997078,3338.9858408,9552.8017588
275,8851.2294928,3060.5668958,9492.5517588
320,8366.4101568,2933.6889658,9486.6015628
335,8416.4199228,2981.9858408,9570.2509778
344,8804.8496098,3046.0249028,9599.3916028
350,8590.3603528,2946.3498548,9522.7109388
355,8373.3798838,3109.0468758,9558.2617198
440,8217.2900398,3151.2287608,9573.9716808
446,8532.1494148,2919.6667488,9523.6708988
469,8573.0000008,2854.6647958,9517.8808598
473,9004.5400398,2942.8818368,9369.4814458
474,7959.3100598,3212.3789068,9353.1416028
485,7916.8701178,3413.1838388,9443.3017588
494,7905.5400398,3490.8898938,9461.7109388
497,8616.7294928,3118.2978528,9607.8115238
534,8371.4599618,3033.2358408,9553.9414068
542,8951.0097668,2910.5607918,9576.0712898
566,8597.1894538,2963.0698248,9621.7509778
591,8188.4199228,3171.9418958,9539.3710948
592,8919.4697278,2960.9929208,9536.0712898
599,8816.6103528,2899.9638678,9459.5410168
622,8583.2900398,3153.9367688,9612.2812508
625,8906.6699228,3026.9929208,9396.8115238
663,8260.5195318,3091.2099618,9515.5517588
693,7994.0800788,3361.7248548,9469.0517588
696,7962.4199228,3214.3908698,9469.6611338
745,8302.9599618,3005.4838878,9540.0917978
754,8894.4296888,2893.7939458,9531.5312508
759,7945.1098638,3201.1059578,9399.4208988
768,8532.7402348,2947.5869148,9595.9511728
810,8611.4199228,2898.9067388,9464.9511728
828,8232.9794928,3119.6877448,9577.4814458
829,7909.5498058,3494.8698738,9420.9912118
835,8168.6000988,3140.8488778,9549.9208988
837,7948.8300788,3213.5329598,9432.0214848
839,8767.6103528,3016.8579108,9439.8115238
846,8006.4096688,3250.3808598,9387.7011728
853,7904.2700208,3500.6567388,9429.4208988
894,8511.2695318,2990.3408208,9563.2412118
906,8471.8496098,3099.2687998,9666.8115238
917,8591.4394538,2928.0498058,9492.6015628
934,8647.5097668,2893.1899418,9525.5214848
973,8375.3896488,3126.1408698,9569.8310558
1007,8467.2597668,3124.3828128,9555.9716808
1051,8469.1201178,3014.4719248,9540.7412118
1091,8575.8603528,2956.1137708,9492.3613288
1092,8399.2402348,3144.7387708,9604.7314458
1102,8740.3896488,3136.5549328,9561.6308598
1118,8737.0595708,3155.3647468,9547.9208988
1173,7957.5498058,3349.7597668,9436.6513678
1184,8477.2900398,2918.4128428,9549.1308598
1206,8813.5898448,2861.5908208,9411.8212898
1239,8486.2500008,2967.9868168,9533.3515628
1243,7909.3896488,3310.8679208,9354.2216808
1250,8666.8701178,2972.5869148,9485.7109388
1263,8489.3095708,2954.1608898,9534.8808598
1280,8835.0000008,3157.0449228,9432.2812508
1313,8255.7900398,3185.7468268,9550.5615238
1336,8293.0498058,3050.4528818,9606.1210948
1362,8220.8994148,3184.6137708,9611.7109388
1373,8461.1894538,3146.2958988,9603.2216808
1393,8211.0400398,3003.1499028,9473.4013678
1402,8295.7402348,3191.4467778,9614.9414068
1407,8155.1699228,3124.2368168,9473.6611338
1424,8363.0302738,2969.0019538,9493.6416028
1426,7923.7597668,3101.1147468,9474.1611338
1441,8126.6796888,3155.5268558,9542.5615238
1460,8864.6699228,3002.8747568,9464.6416028
1472,8878.7900398,3098.1069348,9493.6210948
1489,8492.7900398,2984.3078618,9561.8613288
1493,8754.2802738,3122.8669438,9533.4716808
