gid,x,y,z
25,7868.9199228,1722.2298588,7079.3515628
50,7615.8999028,1540.2799078,7549.8413098
97,7623.6499028,1544.9498298,7529.0014658
101,7839.1596688,1920.6198738,6940.1113288
103,6726.9287118,1823.6499028,7163.8413098
110,7616.9799808,1518.2799078,7185.8515628
121,6835.3339848,1680.8498548,7282.3413098
123,7245.9667978,1625.0498058,7512.7211918
139,7762.1000988,2055.6398938,6711.5043958
142,7574.2900398,1926.9498298,6672.4433598
154,7852.9697278,1649.9498298,7206.7812508
174,7460.2700208,1600.5198978,7301.7915048
188,6730.1977548,1753.3198248,7190.7011728
189,6955.3950208,1754.3298348,7544.4111338
202,7097.2158208,1624.4898688,7206.6215828
213,7765.7597668,1722.6098638,7038.9414068
221,6734.5258798,1811.3898938,7233.8413098
254,7925.7900398,1586.3098148,7363.4912118
260,7589.6298838,1523.8598638,7375.7915048
284,6848.9487308,1756.9298108,7298.4614268
295,7643.3999028,2017.8999028,6836.4882818
317,7846.6396488,1673.0898448,7152.6015628
324,6900.3266608,1680.2698978,7198.0014658
326,7743.8598638,1495.3999028,7327.8911138
367,6841.0966808,1708.6698008,7298.6215828
378,7144.2509778,1673.0299078,7575.6113288
410,7873.8398448,1735.0798348,7105.6313488
429,7769.3896488,1749.6499028,7035.4614268
431,6823.4838878,1778.4498298,7484.5913098
460,7846.1098638,1545.9298108,7306.3911138
472,7613.8999028,2009.3098148,6685.7373058
499,7802.5000008,1734.3598638,7017.4912118
537,7702.7500008,1514.8198248,7378.4013678
541,7653.9096688,1757.2998058,7024.5214848
544,7084.1928718,1614.7598888,7266.7714848
559,7571.3701178,1530.7998058,7141.9912118
568,6992.2587898,1630.5698248,7334.1411138
575,7746.6098638,1847.9798588,6902.2514658
581,7851.7299808,1684.1898198,7129.8515628
589,6990.9599618,1614.7498788,7271.6411138
598,7567.0297858,1546.7198498,7235.5815438
619,7262.7109388,1606.1198738,7517.4614268
652,7799.2299808,1998.7398688,6807.5434578
658,7564.5297858,1533.2298588,7218.3413098
674,7837.3598638,1603.6599128,7168.3715828
689,7402.5668958,1721.0598148,7410.4912118
691,6848.9340828,1839.6298838,7458.5112308
718,7883.3300788,1431.1499028,7466.0512708
728,7770.9697278,1783.3999028,6980.0014658
734,7568.6596688,1543.9698498,7318.9213878
764,7697.1596688,1602.9798588,7036.6113288
792,6839.7548838,1771.0698248,7333.5112308
811,7880.8300788,1482.7897958,7508.2714848
833,7687.2700208,1734.1599128,6865.3515628
847,7565.4697278,1548.7098398,7144.1411138
855,7773.5000008,1561.9998788,7210.1811528
859,7854.7500008,1686.1898198,7128.8212898
868,6725.2006848,1815.8698738,7240.3012708
890,7200.6201178,1581.1499028,7371.1513678
893,6949.0966808,1678.4798588,7326.2011728
910,7688.3100598,1505.0198978,7382.9213878
928,7659.9599618,1906.3198248,6908.4414068
962,6912.6596688,1773.9798588,7454.0415048
974,7631.0200208,2043.4698498,6622.4614268
999,7875.4399418,1531.2398688,7231.9311528
1014,7742.7998058,1572.1599128,7160.6411138
1032,6821.9770518,1737.0098888,7438.1015628
1069,7796.5800788,1638.8898938,7113.6015628
1081,7835.4096688,1765.8098148,7067.9111338
1085,7656.6396488,1988.6798108,6838.9155278
1087,7825.6098638,1708.5898448,7144.3911138
1109,7070.5849618,1632.8999028,7453.8012708
1117,7824.7197278,1828.6298838,7032.1411138
1135,7631.8198248,1544.1098638,7090.4511728
1146,7602.3100598,2024.1098638,6620.8505868
1179,7594.8500988,1508.9498298,7379.0312508
1201,7057.8408208,1622.3698738,7378.3715828
1202,7695.6000988,1520.3999028,7529.5312508
