gid,x,y,z
3,7935.8198248,5826.8598638,8160.3613288
6,8086.1596688,4965.3300788,9291.2314458
7,8071.6298838,5138.2700208,9164.2011728
17,8045.2998058,5644.1396488,8464.5009778
23,8532.7402348,4360.0249028,9846.8613288
30,8544.4794928,4386.0468758,9735.6113288
34,8047.5297858,6009.8896488,8065.7011728
35,8419.6699228,4434.8828128,9787.3613288
36,8111.9599618,5514.1098638,8808.5517588
45,7952.4296888,5956.1098638,8066.1811528
46,7967.1201178,5144.3598638,9149.5712898
49,8129.4096688,4712.9589848,9375.8515628
52,8601.6494148,4347.8256848,9804.0615238
58,8048.1499028,5792.8798838,8270.3310558
76,7896.5097668,5743.1899418,8205.6015628
80,7974.9497078,4718.5668958,9531.6210948
81,8075.7397468,5958.0898448,8190.4614268
88,8502.0400398,4834.5297858,9546.3017588
99,8409.3896488,4587.7949228,9706.0214848
109,7969.1396488,5068.3696298,9090.4716808
118,8088.9296888,5522.2099618,8802.7412118
130,8012.6997078,5815.9497078,8294.6816418
157,8060.2299808,5022.4697278,9280.6210948
158,7943.5600598,6050.7197278,8103.0712898
166,8594.4199228,4559.7958988,9664.1513678
179,8508.8798838,4371.1508798,9700.9511728
185,8395.2597668,4538.0756848,9736.4609388
190,8055.8999028,5466.1098638,8778.4716808
200,8094.3896488,4931.3198248,9281.4316418
204,8052.7197278,5503.0097668,8792.8417978
207,8194.3203128,4362.9897468,9861.9716808
208,7916.7500008,5423.6396488,8769.1513678
209,8341.8798838,4686.9409188,9766.4111338
216,8221.2099618,4482.8510748,9691.9208988
220,8195.1201178,4948.5996098,9404.6210948
222,8017.7797858,4700.7089848,9671.9511728
231,8640.1201178,4485.0410168,9640.6015628
232,7988.9096688,4939.1699228,9304.7509778
240,7937.6699228,5570.4697278,8523.8916028
253,7953.9897468,5862.6596688,8181.7211918
257,8278.3798838,4827.9897468,9637.6708988
258,8095.2797858,4769.8486338,9523.9111338
261,8033.2500008,5246.1997078,9064.6611338
265,8037.1396488,5175.2299808,9091.0410168
266,8009.0200208,5566.8999028,8620.7509778
270,8407.4296888,4672.6499028,9675.1015628
272,7949.7397468,5942.4399418,8144.3715828
280,7999.3100598,4888.8798838,9280.7617198
290,8059.3198248,5982.9399418,8074.8515628
291,8013.7597668,5367.0498058,8996.8212898
299,8053.6796888,5915.9697278,8131.1513678
301,7956.0898448,5429.8398448,8684.9013678
309,8163.6201178,4518.8027348,9775.4716808
327,8124.4799808,5094.4296888,9081.4414068
330,7988.7397468,5217.1699228,9096.8115238
339,8578.6298838,4577.6816418,9581.4511728
